故障代码,故障信息,故障原因,解决方案,故障类型
103,塔筒摆动剧烈,当塔筒驱动侧或非驱动侧摆动偏移量超过设定值75%，持续时间超过600s时，故障代码产生,"1.检查驱动、非驱动侧振动传感器5V电源是否正常。
2.检查驱动、非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动、非驱动侧振动传感器。
6.更新PLC程序。
7.调整偏航大齿圈侧面轴承螺栓力矩",振动
104,备用,备用,,
105,备用,备用,,
106,备用,备用,,
107,备用,备用,,
108,备用,备用,,
109,备用,备用,,
110,备用,备用,,
111,备用,备用,,
112,齿轮箱油压过低,当发电机转速高于100转，齿轮箱油冷泵低速模式开启，而油压小于0.5bar时，故障代码产生,"1.检查压力传感器在程序中选项是否正确。
2.检查压力传感器外接线路是否松动。
3.检查压力传感器电源是否正常。
4.如果为数字量压力传感器，启动油泵时检查传感器显示屏显示与机组控制面板显示是否一致。
5.更换压力传感器。",齿轮箱
113,齿轮箱油冷泵高低速模式均未开启,当齿轮箱油压高于0.5bar持续300s，而主PLC输出口A62.09和A62.10油冷泵低速和高速模式的控制信号均为False时，故障代码产生,"1.检查油压传感器接线。
2.如为数字量油压传感器，检查油压数字量油压传感器设置值。检查油压传感器显示屏显示值与控制面板显示值是否一致。
3.检查程序中传感器选型（数字量/模拟量是否选错，OilPreSenDig为False时表示模拟量油压传感器，反之为数字量油压传感器）。",齿轮箱
114,齿轮箱加热时间超时,当齿轮箱的加热时间超过6小时，故障代码产生,"1.检查齿轮箱加热回路线路是否正常。
2.检查齿轮箱加热器是否正常。",齿轮箱
115,齿轮箱轴承温度传感器回路故障,当齿轮箱轴承处温度传感器接线短路或断路时，故障代码产生,"1.检查齿轮箱加热回路线路是否正常。
2.检查齿轮箱加热器是否正常。",齿轮箱
116,齿轮箱油温传感器回路故障,当齿轮箱油温度传感器接线短路或断路时，故障代码产生,"1.检查齿轮箱加热回路线路是否正常。
2.检查齿轮箱加热器是否正常。",齿轮箱
117,齿轮箱油温过高1,当齿轮箱油温高于80℃时，故障代码产生,"1.检查齿轮箱油温测温PT100至PLC模块间线路。
2.测量齿轮箱油温测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100（一个传感器内部有两组接线，代表两个PT），如果2个PT均损坏，更换PT。",齿轮箱
118,齿轮箱轴承温度过高,当齿轮箱轴承温度高于95℃时，故障代码产生,"1.检查油冷风扇电机是否接在高速侧，风扇转向是否正确（正常是往外抽风）。
2.检查油温PT100接线是否松动，测出的温度与实际温度是否相符。
3.测量油温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
4.如果PT100损坏，改接到备用PT100，如果备用PT也损坏，更换PT。
5.检查油冷部分，包括油冷风扇/管路/散热片，可通过手动启动风扇的方法判断其是否运行，手摸油管判断油是否流经散热片，如果油没有流经大循环，散热片接入油管温度会不高，可能是油冷泵的温控阀损坏，需更换油冷泵。 6.如果油压很低，检查油过滤器滤芯是否有问题。",齿轮箱
119,齿轮箱油位过低,当齿轮箱油位过低时，液位开关断开，主PLC检测端口E63.13为False，故障代码产生,"1.检查实际油位是否低（油温在20度左右时，油位处于油位计的红色标记范围或2/3处为宜，刚吊装机组建议：冬季加到2/3, 夏季加到4/5）。
2.检查是否漏油、渗油。
3.检查油位开关供电是否正常。
4.检查油位开关至PLC模块间线路是否松动。
5.如果不漏油且油温在35度以下报此故障，建议更新PLC程序。
6.如果齿轮箱厂家为南高齿，可能是油位开关本身质量问题，建议更换新型油位计或联系厂家更换新型油位计。",齿轮箱
120,齿轮箱油温过高2,当齿轮箱油温高于90℃时，温度开关断开，主PLC检测端口E63.14为False，故障代码产生,"1.检查故障发生时实际油温、轴温是否大于90度。
2.检查GB300-S226.3油温开关电源是否正常。
3.检查GB300-S226.3油温开关至PLC模块IGeaTem端口线路是否松动。
4.检查油温开关工作是否正常（小于90度时为常闭点）。",齿轮箱
121,齿轮箱油冷泵高速模式断路器工作状态无反馈,当齿轮箱油冷泵高速模式断路器断开或IO口保护熔断器熔断时，数字输入模块检测口E10.04为False，故障代码产生,"1.检查Q112.4空开是否跳闸。
2.如果Q112.4空开跳闸，检查空开下端是否存在接地点。
3.检查油泵电机是否损坏、运行时是否有异常噪音。
4.检查Q112.4空开调节值是否正确。
5.如果因箱变高压侧跌落保险问题造成Q112.4空开跳闸，确认调节值无问题后，重新合上即可。",齿轮箱
122,齿轮箱油冷泵低速模式断路器工作状态无反馈,当齿轮箱油冷泵低速模式断路器断开或IO口保护熔断器熔断时，数字输入模块检测口E10.03为False，故障代码产生,"1.检查Q112.2空开是否跳闸。
2.如果Q112.2空开跳闸，检查空开下端是否存在接地点。
3.检查油泵电机是否损坏、运行时是否有异常噪音。
4.检查Q112.2空开调节值是否正确。
5.如果因箱变高压侧跌落保险问题造成Q112.2空开跳闸，确认调节值无问题后，重新合上即可。",齿轮箱
123,齿轮箱油冷泵高速模式开启而油压偏低,当三相电压未掉电且主PLC输出端口A62.10为True，高速模式开启，而实际油压小于0.5bar时，故障代码产生,"1.检查油压传感器及线路是否松动。
2.检查程序中油压传感器选型是否正确。
3.数字量油压传感器检查传感器显示屏是否显示乱码。
4.数字量油压传感器机组，运行油泵看油压传感器是否有油压显示，若无油压则可能油泵工作不正常，需检查泵（滤芯）、电机及油管阀门是否正常。
5.检查油泵电机运行是否正常，是否有异常噪音或声音特别轻，如果声音特别轻，可能花键损坏。
6.检查滤芯是否堵塞，是否有较多的杂物，如有检查齿轮箱是否正常。",齿轮箱
124,齿轮箱油冷风扇控制信号和反馈信号不一致,当PLC不在停止和故障状态，主PLC输出口A62.11的油冷风扇控制信号与数字输入模块检测口E11.03的反馈信号不一致时，故障代码产生,"1.检查油冷风扇接触器反馈回路是否有问题。
2.检查油冷风扇接触器控制回路是否有问题。
3.检查油冷风扇接触器是否正常。",齿轮箱
125,齿轮箱油冷泵低速模式控制信号和反馈信号不一致,当在自动模式下，PLC不在停止和故障状态，主PLC输出口A62.09的油冷泵低速模式控制信号与数字输入模块检测口E11.01的反馈信号不一致时，故障代码产生,"1.检查齿轮箱低速泵接触器反馈回路是否有问题。
2.检查齿轮箱低速泵接触器控制回路是否有问题。
3.检查齿轮箱低速泵接触器是否正常。",齿轮箱
126,齿轮箱油冷泵高速模式控制信号和反馈信号不一致,当在自动模式下，PLC不在停止和故障状态，主PLC输出口A62.10的油冷泵高速模式控制信号与数字输入模块检测口E11.02的反馈信号不一致时，故障代码产生,"1.检查齿轮箱高速泵接触器反馈回路是否有问题。
2.检查齿轮箱高速泵接触器控制回路是否有问题。
3.检查齿轮箱高速泵接触器是否正常。",齿轮箱
127,齿轮箱油压计损坏,油压计读书低于-1bar,检查齿轮箱油压计,齿轮箱
128,发电机温度过高,当发电机温度高于155℃时，故障代码产生,"1.检查发电机三相绕组温度是否有高于155度，如有，检查对应项测温PT及线路。
2.测量对应PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果备用PT也损坏，联系发电机厂家解决。",发电机
129,发电机轴承温过高,当发电机轴承温度高于110℃时，故障代码产生,"1.检查发电机轴承温度是否有高于110度，如有，检查对应测温PT及线路。
2.测量对应PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果备用PT也损坏，联系发电机厂家解决。",发电机
130,发电机转子侧电抗器温度过高,当发电机转子侧电抗器温度高于155℃时，故障代码产生,"1.检查机侧电抗测温PT100是否正常。
2.检查机侧电抗测温PT100至PLC模块间线路是否正常。
3.检查水冷系统及NCC320柜内风扇是否正常。
4.bachmann+PM3000W机组检查电抗上端风扇是否工作正常。",发电机
131,发电机碳刷故障,当发电机碳刷状态检测口数字输入模块E11.12为False超过48小时，故障代码产生,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。",发电机
132,发电机绕组U相PT断线,PT断线,发电机定子接线盒,发电机
133,发电机绕组V相PT断线,PT断线,发电机定子接线盒,发电机
134,发电机绕组W相PT断线,PT断线,发电机定子接线盒,发电机
135,发电机轴承驱动侧PT断线,PT断线,发电机定子接线盒,发电机
136,发电机轴承非驱动侧PT断线,PT断线,发电机定子接线盒,发电机
137,备用,备用,,
138,备用,备用,,
139,备用,备用,,
140,备用,备用,,
141,备用,备用,,
142,备用,备用,,
143,备用,备用,,
144,电池快充时间过长,当电池快充时间超过6小时，故障代码产生,"1.检查电池充电回路线路。
2.检查充电回路电阻阻值。
3.检查充电回路继电器、接触器。
4.检查电池实际电压在充电状态下是否上涨。",电池
145,电池电压过高,当电池电压高于450V的持续时间超过500ms时，故障代码产生,"1.检查电池电压测量回路电阻是否正常（220K±3K/4.7K±0.2K）。
2.检查电池电压测量回路线路连接是否正常。
3.检查电池电压测量回路电压/电流变送器是否正常。",电池
146,电池电压过低,当电池电压低于100V的持续时间超过1秒或低于330V的持续时间超过20秒时，故障代码产生,"1.检查电池回路线路是否松动。
2.检查电池电压测量回路电阻及线路是否正常。
3.检查电池实际电压是否正常。",电池
147,电池连续三次放电测试不满足要求,当电池连续进行三次大电流放电和小电流放电测试，电压差均小于5V时，故障代码产生,"1.检查电池电压测试电阻是否正常（2个100欧并联,R202.4和R202.5)。
2.检查蓄电池柜温度是否低于5度，若是等待加热，如果温度不上升，检查电池柜内加热器工作是否正常。
3.检查NCC310柜内K257.4/K212.2是否正常。
4.检查NCC310柜内K212.4辅助触点是否正常。
bachmann PM3000W机组电池测试接触器动作过程如下：
快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。",电池
148,电池地线接地不良,当3个变桨变频器直流母排电压的中间值超过650V时，电池地线接地不良，故障代码产生,"1.检查电池柜及电池电压充电、测量回路是否松动，是否存在接地点。
2.检查电池电压测量测量回路电阻是否正常。（220K±3K/4.7K±0.2K）。
3.检查电池电压测量回路电压/电流变送器是否正常。
4.检查电池柜内电池是否存在鼓包、破损现象。
5.检查电池柜内每组电池电压是否正常。
6.检查电池放电保护继电器（k210.5）是否正常。
7.检查电池放电保护继电器（k210.5）机械锁线圈对地阻值是否正常。",电池
149,电池检测电网掉电,当电池检测到电网掉电时，故障代码产生,"1.检查电池柜及电池电压充电、测量回路是否松动，是否存在接地点。
2.检查电池电压测量测量回路电阻是否正常。（220K±3K/4.7K±0.2K）。
3.检查电池电压测量回路电压/电流变送器是否正常。
4.检查电池柜内电池是否存在鼓包、破损现象。
5.检查电池柜内每组电池电压是否正常。
6.检查电池放电保护继电器（k210.5）是否正常。
7.检查电池放电保护继电器（k210.5）机械锁线圈对地阻值是否正常。",电池
150,电池大电流放电和小电流放电测试差异过小,当电池大电流放电后再小电流放电，两次放电终止电压相差小于5V，故障代码产生,"1.检查电池测试电阻100Ω/200W（500W）是否损坏，如损坏更换测试电阻。
2.检查电池柜温度是否正常（在5到40度之间），若异常，检查电池柜加热器及测温PT是否正常。
3.检查电池测试回路线路及器件是否正常。
4.检查电池测试过程各元器件动作是否正常，bachmann PM3000W机组电池测试接触器动作过程如下：快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。
5.检查电池是否损坏，每块电池电压是否正常（6块*12V/块*5组，单块电池电压通常在11.5V～13.5V左右）。
6.ABB机组电池状态显示S3快充时，如果充电接触器不吸合，检查从plc59、60口是否输出24V信号，若不输出，检查24Vdc熔丝F240.5是否烧坏。",电池
151,电池柜温度传感器回路故障,当环境温度小于0℃，电池柜温度传感器短路或断路时，故障代码产生，,"1.检查电池柜温度传感器线路是否松动。
2.检查电池柜PT100是否损坏。",电池
152,电池柜内温度过低,当电池柜内温度低于-5℃时，故障代码产生,"1.检查电池柜内加热器功能是否正常（正常为低于15度加热，高于20度停止加热），如加热器损坏，更换加热器。
2.检查电池柜内加热器控制回路是否正常（如K257.7)。
3.检查电池柜温度传感器线路是否松动。
4.检查电池柜PT100是否损坏。
5.按照技改方案，增加电池柜内加热器。",电池
153,电池在就绪或慢充状态下电池实际电压过低,当电池在就绪或慢充状态，但电池实际电压比经过温度补偿计算所得的电压下限值小5V，故障代码产生,"1.检查电池柜内加热器功能是否正常（正常为低于15度加热，高于20度停止加热），如加热器损坏，更换加热器。
2.检查电池柜内加热器控制回路是否正常（如K257.7)。
3.检查电池柜温度传感器线路是否松动。
4.检查电池柜PT100是否损坏。
5.按照技改方案，增加电池柜内加热器。",电池
154,电池放电保护接触器工作状态无反馈,当PLC不在停止和故障状态，电池不在测试状态，电池放电保护接触器断开时，副PLC的检测口E63.09为False，故障代码产生,"1.检查K210.5控制及反馈信号是否正常；
2.如果PLC不输出控制信号控制K210.5吸合，且检查接触器下端并无接地、短路等问题，断电重新上电后能吸合，但不定时的还跳开，则建议检查电池柜内蓄电池，检查是否有烧焦痕迹或某组电池电压较低。",电池
155,电池测试控制信号和反馈信号不一致,当PLC不在停止和故障状态，副PLC的输出端口A62.10的电池测试控制信号与副PLC检测口E63.10的反馈信号不一致时，故障代码产生,"1.检查电池测试接触器K212.2反馈线路是否正常；
2.检查电池测试接触器K212.2控制回路是否正常；
3.检查电池测试接触器K212.2是否正常。",电池
156,电池慢速充电控制信号和反馈信号不一致,当PLC不在停止和故障状态，副PLC的输出端口A62.11的电池慢充控制信号与副PLC检测口E63.11的反馈信号不一致时，故障代码产生,"1.检查电池测试接触器K212.4反馈线路是否正常；
2.检查电池测试接触器K212.4控制回路是否正常；
3.检查电池测试接触器K212.4是否正常；
4.bachmann机组检查DIO280模块85号端口24Vdc电源接线是否正常。",电池
157,电池快速充电控制信号和反馈信号不一致,当PLC不在停止和故障状态，副PLC的输出端口A62.12的电池快充控制信号与副PLC检测口E63.12的反馈信号不一致时，故障代码产生,"1.检查电池测试接触器K212.6反馈线路是否正常；
2.检查电池测试接触器K212.6控制回路是否正常；
3.检查电池测试接触器K212.6是否正常；
4.bachmann机组检查DIO280模块85号端口24Vdc电源接线是否正常。",电池
158,备用,备用,备用,电池
159,备用,备用,备用,电池
160,230V电源没有反馈,PLC检测到F134.6空开反馈信号错误,1.检查F134.6空开及反馈信号是否正常。,控制柜
161,控制柜内部24v供电熔断器熔断,PLC主站A240.3-EA63.03（I24Fus1）收不到反馈信号,"1.检查NCC310柜内F228.2至A240.3-EA63.03（I24Fus1）的线路是否正常。
2.检查NCC310柜内F228.2保险是否有烧坏，如果烧坏检查保险下端是否存在接地点。",控制柜
162,控制柜外部24v供电熔断器熔断,PLC从站A250.3-E62.08（I24Fus2）收不到反馈信号,"1.检查NCC310柜内F222.5至从站PLC A250.3-E62.08（I24Fus2）端口线路是否正常。
2.检查NCC310柜内F222.5保险是否有烧坏，如果烧坏，保险下端是否接地。
3.如果打雷引起NCC310柜内F222.5保险烧坏，重点检查制动器压力开关、凸轮编码器是否击穿，电源有无接地。
4.如果油泵启动瞬间烧坏F222.5保险，检查油过滤压力传感器是否正常。",控制柜
163,控制柜加热器熔断器熔断,PLC检测到F136.2空开反馈信号错误,1.检查F136.2空开及反馈信号是否正常。,控制柜
164,控制柜散热风扇反馈丢失,PLC检测到ICabFanFus反馈信号错误,"1.ABB机组检查F134.2空开反馈信号是否正常；
2.bachmann机组检查F215.1空开反馈信号是否正常。",控制柜
165,24v风速风向仪供电反馈丢失,数字量DI92模块A260.3-E10.00（I24Fus3）收不到反馈信号,1.检查是否有风速显示，如无风速，检查风速仪供电保险是否烧坏，保险在09年12月以后的图纸中已经改到4-5A，如保险烧坏，检查保险下端是否存在接地点，风速仪工作时使用钳流表测量保险流过的最大电流。如有风速，检查风速仪保险至A260.3-E10.00（I24Fus3）的反馈线路是否松动。,控制柜
166,24v辅助供电反馈丢失,NCC310-F230.4至数字量模块A260.3-E10.01（I24Fus4）的24V反馈信号丢失,"1.检查F230.4至数字量模块A260.3-E10.01（I24Fus4）线路是否正常。
2.检查F230.4保险(2A)是否正常,若保险烧坏，检查保险后端是否接地。",控制柜
167,电网690v熔断器熔断,数字量DI92模块A260.3-E10.02（I690Fus）收不到反馈信号,"1.检查NCC300-F102.2/3/4至数字量DI92模块A260.3-E10.02（I690Fus）端口线路是否正常。（检查时需断开690V电源）。
2.检查NCC300柜内网侧350A保险（-F102.2/3/4）及反馈触点是否正常（检查时需断开690V电源）
3.如果350A保险烧坏，检查网侧接触器是否粘连或绝缘不够。检查滤波回路1欧姆电阻是否正常，如损坏，更换水冷滤波板或滤波电阻，务必要均匀涂上导热硅胶，且固定螺丝必须拧紧，最好选用长度及螺纹一致的内六角螺丝固定。（原先梅花螺丝不易拧紧）。检查350A保险后端器件及电缆绝缘性，如是否存在电缆表皮磨破等问题。
4.如果与Err278、80等同时报出，检查变频器IGBT是否击穿。",控制柜
168,机舱烟雾传感器检测,当主PLC检测到烟雾传感器输出时，产生故障代码,"1.检查烟雾传感器是否触发。
2.检查烟雾传感器供电及外接线是否正常。",控制柜
169,控制柜温度过高,当机舱三个控制柜中任何一个温度超过65℃时，产生故障代码,"1.检查机舱控制柜NCC300-320温度是否有大于65的。
2.机舱控制柜NCC300-320测温PT及接线是否正常。
3.检查水冷系统是否正常。
4.检查机舱控制柜内加热器是否一直工作，若是，检查温控开关及调节值是否正常（机舱控制柜内温控开关设定值在5-10度为宜，太低对电气元件工作不利，送电瞬间易烧坏电源等）。
5.检查柜内风扇工作是否正常。
6.检查柜内温控开关设定值及工作是否正常。",控制柜
170,机舱温度过高,当机舱温度大于55℃时，产生故障代码,"1.检查机舱测温PT100接线及阻值。
2.检查机舱实际温度是否确实高，检查油冷扇热器帆布是否安装不好，导致热风吹到机舱内部。",控制柜
171,机舱温度传感器检测异常,当机舱温度大于250度或小于-50℃时，产生故障代码,1.检查机舱测温PT100接线及阻值。,控制柜
172,水冷泵接触器错误,当PLC发出的指令和水冷泵接触器的反馈不一致时，产生故障代码,"1.检查水泵接触器反馈回路是否有问题。
2.检查水泵接触器控制回路是否有问题。
3.检查水泵接触器是否正常。",控制柜
173,水冷泵断路器断开,当主PLC检测到Q112.7时，产生故障代码,"1.检查水泵接触器反馈回路是否有问题。
2.检查水泵接触器控制回路是否有问题。
3.检查水泵接触器是否正常。",控制柜
174,变频器柜水冷阀断路器断开,当主PLC检测到F218.7断开时，产生故障代码,"1.检查水阀断路器是否断开；
2.检查水阀断路器反馈回路是否正常。",控制柜
175,备用,备用,,
176,偏航驱动速度慢,当偏航驱动速度低于设定值时，产生故障代码,"1.检查偏航传感器是否正常。
2.检查偏航传感器内部编码器至PLC模块的接线及脉冲反馈是否正常。
3.检查偏航功率是否过高，如果大于12kw，建议重调偏航力矩来减小偏航功率。
4.检查偏航电机转向是否正常，服务模式下控制面板左转时，实际是否左转且机舱角度也递减。
5.如果是Vacon偏航变频器机组，可能是偏航变频器程序问题，更新偏航变频器程序可解决。
6.如果偏航变频器温度静止时为0，但一偏航就快速变到-1500度，更换偏航变频器。
",偏航
177,偏航时机舱位置没有改变,当偏航在额定频率下4秒后机舱位置还没有变化时，产生故障代码,"1.检查偏航传感器内部的编码器及接线。
2.检查偏航传感器内部编码器电源及反馈是否正常。",偏航
178,偏航时机舱位置变化太小,额定频率下偏航，当机舱位置变化小于设定值时，产生故障代码,"1.检查偏航传感器线路。
2.检查偏航时角度反馈是否正常。
3.检查偏航电机工作是否正常。
4.更换偏航传感器或传感器内部编码器。
5.如果雷击引起，可能凸轮内编码器损坏，检查更换编码器，并尽快做好防雷技改和零地分离技改。                                                                                  ",偏航
179,偏航静止时机舱位置改变,当偏航静止状态下机舱位置超出设定值时，产生故障代码,"1.MGM偏航电机正上方（外壳顶部）螺丝没有去除，导致偏航电机刹车一直处于打开状态。将MGM偏航电机上方螺丝去除即可。
2.检查偏航电机刹车供电控制继电器K118.8触点是否一直处于导通状态，正常为偏航时线圈得电触点闭合、不偏航时线圈失电触点断开。
3.检查凸轮开关固定及内部编码器固定是否松动。
4.如果以上原因都排除，可能是接收凸轮编码器的plc或模块问题。",偏航
180,偏航变频器熔断保险断开,当主PLC与WTD192通信正常且F118.2断开时，产生故障代码,"1.检查偏航变频器空开F118.2是否断开。
2.检查偏航变频器空开F118.2反馈信号至PLC是否松动。",偏航
181,偏航变频器通讯错误,当偏航变频器与PLC通讯错误时，产生故障代码,"1.检查偏航变频器与PLC模块间通讯线路是否有正常。
2.ABB机组检查从站PLC CAN通讯配置是否正常。
3.如果运行过程中频繁报此故障，且需给偏航变频器断电才能复位，可能偏航变频器的通讯板问题。",偏航
182,偏航极限位置触发,当偏航极限位置开关触发时，产生故障代码,"1.如果故障不可复位，可能偏航凸轮开关设置或调节有误，偏航左、右极限位置的触发应先于解缆位置保护，即图纸中1、2号凸轮环应先于3号凸轮环触发。建议在电缆完全垂直状态下，重新调整偏航凸轮开关。
2.如果故障可复位，检查偏航电机刹车反馈回路是否有接地，导致偏航变频器20号端子无24V输出。找到接地点，处理好即可。",偏航
183,偏航变频器故障,当偏航变频器检测到故障时，产生故障代码,1.检查偏航变频器子故障，参考偏航子故障处理手册。,偏航
184,偏航刹车保护保险丝,当偏航刹车保护的保险丝熔断时，产生故障代码,"1.检查偏航刹车空开F122.2是否跳开。
2.检查偏航刹车空开F122.2反馈触点至PLC模块IYawBraFus端口线路是否有问题。",偏航
185,偏航控制盒连接,当偏航手操盒与偏航变频器连接时，产生故障代码,"1.检查手动操作盒是否连接到偏航系统。
2.检查偏航系统手动操作盒检测回路是否有问题。",偏航
186,自动偏航时偏航超时,当偏航在设定时间内无法使机舱到达指定位置时，产生故障代码,"1.检查偏航传感器线路。
2.检查偏航左右极限位置是否在偏航角度小于600度时触发，若是，建议重调凸轮（调时电缆必须完全垂直），或者暂时在服务模式下往另一方向偏航180度以上。                                                        3.更换偏航传感器                                                                                ",偏航
187,偏航凸轮左/右位置检测错误,当偏航凸轮左/右位置检测错误时，产生故障代码,"1.检查凸轮左右极限位置开关、解缆保护开关是否正常，调节位置是否有很大误差。
2.检查凸轮开关左右极限位置开关是否接反。
3.检查电缆是否扭曲很大，若是需要偏航到电缆完全垂直后重新调节凸轮。
4.如果KEB偏航变频器16号端口（ST）无24V反馈，此时将无法偏航。
5.在电缆完全垂直状态重新调整凸轮，如果角度显示负数，调节4号凸轮环正好触发按钮，使面板显示机舱位置为“左”，然后向右偏航直到机舱位置变为“右”，此时角度就能自动变到±30度范围内；反之，调节4号凸轮环使其正好不触发按钮，使面板显示机舱位置为“右”，然后向左偏航直到机舱位置变为“左”，此时角度就能自动变到±30度范围内。",偏航
188,偏航功率低,当偏航功率低于设定值时，产生故障代码,1.调整偏航螺栓力矩，夏天4-6kw；冬天6-8kw。                                                                          ,偏航
189,备用,备用,,
190,备用,备用,,
191,备用,备用,,
192,400V电源中断掉电,当主PLC没有检测到400v电源输入时，产生故障代码,"1.检查机组400V外接电源是否正常，箱变400V是否跳闸。
2.检查三相400V电源监视继电器是否正常。
3.检查三相400V电源监视继电器至PLC测量模块间线路是否正常。
4.检查三相400V多功能继电器调节值是否正确（bachmann+PM3000W机组）。
5.检查是否与Err142同时报出，若是，按照Err142处理方案处理。",一般性
193,滑环转速过低,当滑环编码器测量转速低于变频器测量转速达到设定值时，产生故障代码,"1.检查超速继电器调节值是否正确，右边的1000与左边的1000是否调反，正常是右边调成1000。
2.检查叶轮转速是否正常。
3.检查发电机转速是否突变。
4.检查SpeRot1、SpeRot2转速是否都正常。
5.若为阵风引起，可能PLC程序版本较旧，更新PLC程序。",一般性
194,发电机转速过低,当滑环编码器测量转速高于变频器测量转速达到设定值时，产生故障代码,"1.检查超速继电器设置，正确值为（以77叶轮直径机组turck继电器为例）1000MHz/4/6/90/0.5；                                                                    2.服务模式下，启动变桨观察Pitch及Converter菜单下轮毂、发电机转速值是否平稳。
3.使用Rheintacho rotas超速继电器的机组，如果停机或启机偏航过程中报，检查滑环编码器脉冲信号反馈是否正常，如果信号受干扰，可以更换除O和O/外的其他脉冲信号。",一般性
195,软件超速,当滑环测得转速或变频器测得转速超过设定值1（设定值1<设定值2）时，产生故障代码,一般性,一般性
196,硬件超速,当滑环测得转速或变频器测得转速超过设定值2（设定值1<设定值2）时，产生故障代码,一般性,一般性
197,变频器测量发电机转速超速,当变频器测得发电机转速大于设定值时，产生故障代码,一般性,一般性
198,功率1分钟滤波值小于-30KW ,当功率1分钟滤波值小于-30KW时，产生故障代码,"1.检查变频器端子上电网电流测量互感器接线顺序。
2.检查发电机转速ConSpe信号，如信号失真，有短时跳跃，则为发电机编码问题引起。需检查编码器固定、联轴器固定及编码器测量回路是否正常。
3.更换编码器。
4.天元电机使用的小编码器存在问题，建议更换为永济电机使用的莱纳林德编码器。",一般性
199,故障电流大于低限值,当变频器在非同步状态下故障电流大于75A时，产生故障代码,"1.检查NCC300柜内母排电网电流互感器接线是否松动。
2.更换变频器后插头没插好或变频器损坏。
3.电机转子绕组接地，发电机损坏。
4.检查T170.6的24V供电及反馈到A240.3PLC的线路；
5.检查定子接触器。",一般性
200,故障电流小于-10A,当故障电流小于-10A时，产生故障代码,"1.检查NCC310-A240.3-EW6.07/FaiCur)至故障电流互感器NCC300-T170.6之间的线路是否正常。
2.检查故障电流互感器是否损坏（正常情况有4-20mA直流电流输出）。",一般性
201,故障电流大于最高限值,当变频器在非同步状态下故障电流大于150A时，产生故障代码,"1.检查NCC300柜内母排电网电流互感器接线是否松动。
2.更换变频器后插头没插好或变频器损坏。
3.电机转子绕组接地，发电机损坏。
4.检查T170.6的24V供电及反馈到A240.3PLC的线路；
5.检查定子接触器。",一般性
202,变频器同步失败,当变频器同步时间超过设定值时，产生故障代码,"1.检查电机选型、开口电压、励磁电流设置是否正确。
2.示波器，检查同步时定子侧电压波形相位是否稳定，幅值与电网幅值是否相差大于200V，频率是否正常（正常为50Hz±2Hz）。如果相位不对，更换定子相序；如果频率不对，更换转子相序。
3.检查发电机定转子绕组相间、对地阻值是否正常。
4.检查定子接触器-K150.1线圈供电线路接线是否松动。
5.静态测试变频器至S7-Syn时，如果Gsccur高达100多安（正常为30A），且三相不平衡，且更换发电机转子相序后效果一样。则为发电机转子问题。
6.检查NCC300柜内发电机定子侧到8A保险到机侧变频器接线及插头是否松动，位置是否接对。
7.检查定子侧8A保险是否正常。
8.检查发电机编码器及固定是否正常。
9.使用ABB定子断路器做并网开关机组，如果机组输出并网控制信号，检查控制信号到定子断路器的线路、器件及定子断路器本身是否正常（特别是定子断路器辅助触点是否正常）。
10.使用ABB接触器做并网开关机组，检查接触器辅助触点及辅助触点反馈是否有问题。
11.如果与Err80同报，检查发电机编码器。",一般性
203,网侧变频器电流错误,"当变频器网侧接触器没有闭合且网侧电流大于50A时,产生故障代码",,一般性
204,机侧变频器电流错误,"当变频器机侧接触器没有闭合且机侧电流大于50A时,产生故障代码",,一般性
205,变频器预充电时，直流母线电压和电网整流电压差值超限,当预充电状态直流母线电压和电网整流电压差值大于100V时，产生故障代码,,一般性
206,滑环编码器测得转速波动大,滑环编码器测得转速波动大,一般性,一般性
207,UPS状态故障,UPS工作状态的反馈点没有24V电压时产生,"1.检查UPS输入端是否跳闸，若存在跳闸说明UPS负载有短路情况，请排查后端故障后再次上电；
2.检查UPS状态反馈的端子和接线是否有松动；
3.断开UPS输出负载后上电观察是否正常工作；注意逆变指示灯是否为正常的绿色亮起状态。",一般性
