故障代码,故障解释,故障原因,解决方案,故障属性,故障类型
604,变速箱油泵为启动压力过高,线路接错或程序问题,"1.检查油压传感器接线。
2.如为数字量油压传感器，检查油压数字量油压传感器设置值。检查油压传感器显示屏显示值与控制面板显示值是否一致。
3.检查程序中传感器选型（数字量/模拟量是否选错，OilPreSenDig为False时表示模拟量油压传感器，反之为数字量油压传感器）。",bachmann PLC故障,
605,齿轮箱加热超时,齿轮箱加热时间超过6h,"1.检查齿轮箱加热回路线路是否正常。
2.检查齿轮箱加热器是否正常。",bachmann PLC故障,
606,电池充电超时,蓄电池充电时间超过6h,"1.检查电池充电回路线路。
2.检查充电回路电阻阻值。
3.检查充电回路继电器、接触器。
4.检查电池实际电压在充电状态下是否上涨。",bachmann PLC故障,
607,水泵加热断路器,蓄电池充电时间超过6h,"1.检查电池充电回路线路。
2.检查充电回路电阻阻值。
3.检查充电回路继电器、接触器。
4.检查电池实际电压在充电状态下是否上涨。",bachmann PLC故障,
608,转速信号不同,SpeRot1与SpeRot2之间差值大于100rpm超过1s,"1.检查TRUCK超速继电器及其调节值是否正常。
2.检查滑环编码器信号反馈是否正常。                                                ",bachmann PLC故障,
609,预留,,,bachmann PLC故障,
610,预留,,,bachmann PLC故障,
611,转子转速信号错误,A240.3-EW6.01接收到的叶轮转速2信号反馈小于4mA,"1.检查B234.6 turck继电器到PLC的线路。
2.检查B234.6 turck供电电源。
3.更换B234.6 turck继电器",bachmann PLC故障,
612,塔基UPS报警,塔基柜UPS报警信号触发,"1.检查塔基柜UPS是否报警。
2.检查塔基柜UPS反馈信号是否正常。",bachmann PLC故障,
613,塔基电源供应断路器,塔基电源断路器反馈信号触发,1.检查电源断路器及反馈信号是否正常。,bachmann PLC故障,
614,Circuit breaker standstill heating,塔基电源断路器反馈信号触发,1.检查电源断路器及反馈信号是否正常。,bachmann PLC故障,
615,NCC310 柜急停按钮,NCC310柜急停按钮拍下或线路问题,"1.检查NCC310柜急停按钮是否拍下。
2.检查急停按钮反馈回路24Vdc是否正常。
3.检查急停及急停反馈线路是否正常。",bachmann PLC故障,
616,CTB300齿轮箱急停按钮,齿轮箱左右侧急停按钮拍下或线路问题,"1.检查齿轮箱急停按钮是否拍下。
2.检查急停按钮反馈回路24Vdc是否正常。
3.检查急停及急停反馈线路是否正常。",bachmann PLC故障,
617,TBC100 急停按钮,TBC100柜急停按钮拍下或线路问题,"1.检查塔基柜急停按钮是否拍下。
2.检查急停按钮反馈回路24Vdc是否正常。
3.检查急停及急停反馈线路是否正常。",bachmann PLC故障,
618,机舱电池电压高或无连接,电池电压大于450V超过0.5s,"1.检查电池电压测量回路电阻是否正常（220K±3K/4.7K±0.2K）。
2.检查电池电压测量回路线路连接是否正常。
3.检查电池电压测量回路电压/电流变送器是否正常。",bachmann PLC故障,
619,高压变压器温度,系统检测到箱变温度低于-20度或高于155度,"1.检查系统接收的箱变绕组温度信号是否使用100欧电阻替代，若是，检查电阻接线是否正常。若否，检查箱变实际反馈的信号是否正常。
2.检查测温回路浪涌是否正常。                       ",bachmann PLC故障,
620,发电机PT100传感器故障1,发电机绕组温度小于-50或大于250度,"1.检查发电机绕组测温PT100至PLC模块间线路。
2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。",bachmann PLC故障,
621,发电机PT100传感器故障2,发电机绕组温度小于-50或大于250度,"1.检查发电机绕组测温PT100至PLC模块间线路。
2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。",bachmann PLC故障,
622,发电机PT100传感器故障3,发电机绕组温度小于-50或大于250度,"1.检查发电机绕组测温PT100至PLC模块间线路。
2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。",bachmann PLC故障,
623,发电机轴承驱动侧PT100传感器,发电机驱动端轴承温度小于-50或大于250度,"1.检查发电机驱动端轴承测温PT100至PLC模块间线路。
2.测量发电机驱动端轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。",bachmann PLC故障,
624,发电机轴承非驱动侧PT100传感器故障,发电机非驱动端轴承温度小于-50或大于250度,"1.检查发电机非驱动端轴承测温PT100至PLC模块间线路。
2.测量发电机非驱动端轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。",bachmann PLC故障,
625,变速箱轴承PT100传感器故障,齿轮箱轴承温度小于-50或大于250度,"1.检查齿轮箱轴承测温PT100至PLC模块间线路。
2.测量齿轮箱轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100（一个传感器内部有两组接线，代表两个PT），如果2个PT均损坏，更换PT。",bachmann PLC故障,
626,变速箱油PT100温传感器,齿轮箱油温温度小于-50或大于250度,"1.检查齿轮箱油温测温PT100至PLC模块间线路。
2.测量齿轮箱油温测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100（一个传感器内部有两组接线，代表两个PT），如果2个PT均损坏，更换PT。",bachmann PLC故障,
627,机舱电池电压低或无连接,电池电压小于100V超过1s或电池电压小于330V超过20s,"1.检查电池柜内空开及NCC310柜电池开关是否闭合。
2.检查电池实际电压是否与显示电压一直。
3.检查电池柜内每组电池电压是否差别很大。
4.检查电池电压测量回路电阻是否正常（220K±3K/4.7K±0.2K）。
5.检查电池电压测量回路线路连接是否正常。
6.检查电池电压测量回路电压/电流变送器是否正常。
7.检查电网断电后电池切出保护功能是否正常（停电时，ABB、bachmann简版机组延时5-10min切出，bachmann+PM3000W机组延时5mink210.5机械锁动作，延时15-20min机舱断电，延时30min塔基断电）。",bachmann PLC故障,
628,机舱温度高,机舱温度大于55度,"1.检查机舱测温PT100接线及阻值。
2.检查机舱实际温度是否确实高，检查油冷扇热器帆布是否安装不好，导致热风吹到机舱内部。",bachmann PLC故障,
629,机舱温度传感器故障,机舱温度小于-50度或大于250度,1.检查机舱测温PT100接线及阻值。,bachmann PLC故障,
630,转子扼流电路温度高,机侧电抗温度大于155度,"1.检查机侧电抗测温PT100是否正常。
2.检查机侧电抗测温PT100至PLC模块间线路是否正常。
3.检查水冷系统及NCC320柜内风扇是否正常。
4.bachmann+PM3000W机组检查电抗上端风扇是否工作正常。",bachmann PLC故障,
631,网侧变频器滤波器熔断器,滤波保险反馈出错,"1.检查滤波回路保险及反馈信号是否正常。可能是1欧滤波电阻烧坏引起保险烧坏。更换滤波电阻时必须均匀涂抹导热硅胶，且固定螺丝必须拧紧（原先梅花螺丝不易拧紧，建议使用内六角螺丝紧固）。
2.如果仅仅是反馈信号出问题，滤波保险正常，建议将该反馈信号去除（017[1].0034.02B版图纸开始已经不检测该反馈信号）。",bachmann PLC故障,
632,发电状态下定子断路器反馈信号丢失,发电状态下定子断路器反馈信号异常,1.检查定子断路器反馈信号是否正常。,bachmann PLC故障,
633,环境温度过高,环境温度大于50度,"1.检查环境PT100及其线路是否正常。
2.如果使用Thies风速仪测量环境温度，建议技改为外接PT测温。
3.如果已经技改为外接PT测温，检查程序中是否设置为外接PT测温。",bachmann PLC故障,
634,发电机温度高,发电机绕组最高温度大于155度,"1.检查发电机三相绕组温度是否有高于155度，如有，检查对应项测温PT及线路。
2.测量对应PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果备用PT也损坏，联系发电机厂家解决。",bachmann PLC故障,
635,发电机轴承温度高,发电机轴承温度大于110度,"1.检查发电机轴承温度是否有高于110度，如有，检查对应测温PT及线路。
2.测量对应PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果备用PT也损坏，联系发电机厂家解决。",bachmann PLC故障,
636,齿轮箱油温,齿轮箱油温大于80度,"1.检查油冷风扇电机是否接在高速侧，风扇转向是否正确（正常是往外抽风）。
2.检查轴温PT100接线是否松动，测出的温度与实际温度是否相符。
3.检查油温PT和轴温PT是否接反。
4.测量轴温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
5.如果PT100损坏，改接到备用PT100，如果备用PT也损坏，更换PT。
6.检查油冷部分，包括油冷风扇/管路/散热片，可通过手动启动风扇的方法判断其是否运行，手摸油管判断油是否流经散热片，如果油没有流经大循环，散热片接入油管温度会不高，可能是油冷泵的温控阀损坏，需更换温控阀。
7.检查油冷散热片是否堵塞，灰层是否较多，若是，需及时清洗。
8.如果油压很低，检查油过滤器滤芯是否有问题。
",bachmann PLC故障,
637,机舱控制柜温度,机舱控制柜温度大于65度,"1.检查机舱控制柜NCC300-320温度是否有大于65的。
2.机舱控制柜NCC300-320测温PT及接线是否正常。
3.检查水冷系统是否正常。
4.检查机舱控制柜内加热器是否一直工作，若是，检查温控开关及调节值是否正常（机舱控制柜内温控开关设定值在5-10度为宜，太低对电气元件工作不利，送电瞬间易烧坏电源等）。
5.检查柜内风扇工作是否正常。
6.检查柜内温控开关设定值及工作是否正常。",bachmann PLC故障,
638,齿轮箱轴承温度,齿轮箱轴承温度大于95度,"1.检查油冷风扇电机是否接在高速侧，风扇转向是否正确（正常是往外抽风）。
2.检查油温PT100接线是否松动，测出的温度与实际温度是否相符。
3.测量油温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
4.如果PT100损坏，改接到备用PT100，如果备用PT也损坏，更换PT。
5.检查油冷部分，包括油冷风扇/管路/散热片，可通过手动启动风扇的方法判断其是否运行，手摸油管判断油是否流经散热片，如果油没有流经大循环，散热片接入油管温度会不高，可能是油冷泵的温控阀损坏，需更换油冷泵。 6.如果油压很低，检查油过滤器滤芯是否有问题。",bachmann PLC故障,
639,刹车盘 磨损> 2 mm,0,"1.检查S222.6（安装在制动器中间位置的传感器）刹车报警传感器线路。
2.检查S222.6传感器固定是否松动。
3.检查刹车片是否磨损到需要更换。
+H107",bachmann PLC故障,
640,刹车泵无压力,PLC模块接收不到制动泵压力反馈,"1.检查制动器液压油位、压力传感器供电及反馈信号
2.将+NCC310柜门上开关打到手动，手动反复启动制动器，同时测量制动器反馈24VDC信号，制动器打开时，应有反馈24VDC信号。
3.检查制动器压力开关反馈信号接线，通常为棕色线brown: +TB300-X222.3:3 / 蓝色线blue: +TB300-X222.3:2 / 黑色线black: +TB300-X222.3:4。有时候反馈线的延时不是黑色，可能是白色。
4.如果雷雨天气导致，可能是压力开关受雷击损坏，建议更换并及时做好防雷技改和零地分离技改。
5.更换防雷能力强的制动器压力传感器。",bachmann PLC故障,
641,安全链未检测到刹车关闭,机组手动/自动转换开关在自动档时，Ibra反馈为0V，但是ISafBraPos有24V。,"1.检查PLC A240.3-E62.14 (ISafBraPos)端口是否有24Vdc信号反馈。
2.检查k228.8继电器工作是否正常。
3.检查制动器位置传感器S222.7至A240.3-E62.03 (IBra)端口线路是否松动。
4.检查k246.1:11至k228.8:14间线路是否正常。",bachmann PLC故障,
642,变速箱油位低,油位传感器信号触发或线路松动,"1.检查实际油位是否低（油温在20度左右时，油位处于油位计的红色标记范围或2/3处为宜，刚吊装机组建议：冬季加到2/3, 夏季加到4/5）。
2.检查是否漏油、渗油。
3.检查油位开关供电是否正常。
4.检查油位开关至PLC模块间线路是否松动。
5.如果不漏油且油温在35度以下报此故障，建议更新PLC程序。
6.如果齿轮箱厂家为南高齿，可能是油位开关本身质量问题，建议更换新型油位计或联系厂家更换新型油位计。",bachmann PLC故障,
643,变速箱油温,齿轮箱油温开关触发或线路松动,"1.检查故障发生时实际油温、轴温是否大于90度。
2.检查GB300-S226.3油温开关电源是否正常。
3.检查GB300-S226.3油温开关至PLC模块IGeaTem端口线路是否松动。
4.检查油温开关工作是否正常（小于90度时为常闭点）。",bachmann PLC故障,
644,刹车泵断路器,制动泵电机保护空开（电机启动器）反馈信号错误,"1.检查制动泵电机空开是否跳闸，如果跳闸，检查空开下端是否存在接地点（如：接触器损坏、线路接地、短路、制动泵电机损坏等）。
2.检查制动泵电机保护空开反馈IBraPumFus是否正常，线路是否松动。",bachmann PLC故障,
645,预充电旁路断路器,预充电旁路接触器状态错误,"1.检查预充电旁路接触器K340.3控制及反馈是否正常。
2.检查预充电旁路接触器K340.3是否正常。",bachmann PLC故障,
646,网侧扼流电抗PT100断线或损坏,预充电旁路接触器状态错误,"1.检查预充电旁路接触器K340.3控制及反馈是否正常。
2.检查预充电旁路接触器K340.3是否正常。",bachmann PLC故障,
647,"电池测试失败3次,低电压",电池测试中高低负载电压偏差不符合要求,"1.检查电池电压测试电阻是否正常（2个100欧并联,R202.4和R202.5)。
2.检查蓄电池柜温度是否低于5度，若是等待加热，如果温度不上升，检查电池柜内加热器工作是否正常。
3.检查NCC310柜内K257.4/K212.2是否正常。
4.检查NCC310柜内K212.4辅助触点是否正常。
bachmann PM3000W机组电池测试接触器动作过程如下：
快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。",bachmann PLC故障,
648,NC300柜PT100断线或损坏,电池测试中高低负载电压偏差不符合要求,"1.检查电池电压测试电阻是否正常（2个100欧并联,R202.4和R202.5)。
2.检查蓄电池柜温度是否低于5度，若是等待加热，如果温度不上升，检查电池柜内加热器工作是否正常。
3.检查NCC310柜内K257.4/K212.2是否正常。
4.检查NCC310柜内K212.4辅助触点是否正常。
bachmann PM3000W机组电池测试接触器动作过程如下：
快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。",bachmann PLC故障,
649,NC310柜PT100断线或损坏,电池测试中高低负载电压偏差不符合要求,"1.检查电池电压测试电阻是否正常（2个100欧并联,R202.4和R202.5)。
2.检查蓄电池柜温度是否低于5度，若是等待加热，如果温度不上升，检查电池柜内加热器工作是否正常。
3.检查NCC310柜内K257.4/K212.2是否正常。
4.检查NCC310柜内K212.4辅助触点是否正常。
bachmann PM3000W机组电池测试接触器动作过程如下：
快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。",bachmann PLC故障,
650,NC320柜PT100断线或损坏,电池测试中高低负载电压偏差不符合要求,"1.检查电池电压测试电阻是否正常（2个100欧并联,R202.4和R202.5)。
2.检查蓄电池柜温度是否低于5度，若是等待加热，如果温度不上升，检查电池柜内加热器工作是否正常。
3.检查NCC310柜内K257.4/K212.2是否正常。
4.检查NCC310柜内K212.4辅助触点是否正常。
bachmann PM3000W机组电池测试接触器动作过程如下：
快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。",bachmann PLC故障,
651,自动刹车调节,PLC接收的刹车自动调节信号丢失,"1.检查PLC A240.3-E62.04 (IBraAdj)端口是否有24Vdc信号反馈。
2.检查制动器位置传感器S222.7至A240.3-E62.04 (IBraAdj)端口线路是否松动。
3.检查制动器位置传感器S222.7是否松动。
4.检查S222.6与S222.7是否接反。
5.检查刹车间隙是否满足要求。",bachmann PLC故障,
652,机侧扼流电抗PT100断线或损坏,PLC接收的刹车自动调节信号丢失,"1.检查PLC A240.3-E62.04 (IBraAdj)端口是否有24Vdc信号反馈。
2.检查制动器位置传感器S222.7至A240.3-E62.04 (IBraAdj)端口线路是否松动。
3.检查制动器位置传感器S222.7是否松动。
4.检查S222.6与S222.7是否接反。
5.检查刹车间隙是否满足要求。",bachmann PLC故障,
653,驱动侧振动传感器线路或者传感器损坏,PLC接收的刹车自动调节信号丢失,"1.检查PLC A240.3-E62.04 (IBraAdj)端口是否有24Vdc信号反馈。
2.检查制动器位置传感器S222.7至A240.3-E62.04 (IBraAdj)端口线路是否松动。
3.检查制动器位置传感器S222.7是否松动。
4.检查S222.6与S222.7是否接反。
5.检查刹车间隙是否满足要求。",bachmann PLC故障,
654,保险断或直流电源接地,系统检测到F200.2空开反馈信号丢失,"1.检查F200.2空开是否断开或损坏，如果跳开，检查空开下端是否有接地点。
2.检查F200.2空开反馈是否有问题。
3.如果空开跳开，检查变桨变频器＋＋端口与PB间的制动电阻是否有问题。
4.如果空开跳开，检查变桨控制柜间电源线是否有问题。
5.如果空开跳开，检查蓄电池是否正常。   ",bachmann PLC故障,
655,未达到刹车打开位置,系统检测不到刹车打开信号,"1.检查S222.7传感器至PLC模块间线路是否松动。
2.检查S222.7传感器是否正常。
3.检查制动器间隙是否正常。",bachmann PLC故障,
656,变速箱高速回路断路器,系统检测到Q112.4空开反馈信号丢失,"1.检查Q112.4空开是否跳闸。
2.如果Q112.4空开跳闸，检查空开下端是否存在接地点。
3.检查油泵电机是否损坏、运行时是否有异常噪音。
4.检查Q112.4空开调节值是否正确。
5.如果因箱变高压侧跌落保险问题造成Q112.4空开跳闸，确认调节值无问题后，重新合上即可。",bachmann PLC故障,
657,叶轮锁止开关不在自动位置,系统检测到NCC310柜门自动/手动 钥匙在手动位置,"1.检查NCC310柜门自动/手动 钥匙是否在手动位置，自动运行时需要转到自动位置。
2.检查NCC310柜门自动/手动 钥匙是否工作正常。",bachmann PLC故障,
658,刹车阀故障,系统检测到制动泵频繁动作超过15s,"1.检查制动器电池阀Y222.4供电是否正常。
2.检查制动器电池阀Y222.4接线是否松动。
3.检查制动器电池阀Y222.4是否损坏。",bachmann PLC故障,
659,400V电源故障,系统检测到400V电源中断,"1.检查机组400V外接电源是否正常，箱变400V是否跳闸。
2.检查三相400V电源监视继电器是否正常。
3.检查三相400V电源监视继电器至PLC测量模块间线路是否正常。
4.检查三相400V多功能继电器调节值是否正确（bachmann+PM3000W机组）。
5.检查是否与Err142同时报出，若是，按照Err142处理方案处理。",bachmann PLC故障,
660,400V电池接触器2,系统检测到电池状态处于S7-BatStaEar状态（电池电压大于650V超过10s）,"1.检查电池柜及电池电压充电、测量回路是否松动，是否存在接地点。
2.检查电池电压测量测量回路电阻是否正常。（220K±3K/4.7K±0.2K）。
3.检查电池电压测量回路电压/电流变送器是否正常。
4.检查电池柜内电池是否存在鼓包、破损现象。
5.检查电池柜内每组电池电压是否正常。
6.检查电池放电保护继电器（k210.5）是否正常。
7.检查电池放电保护继电器（k210.5）机械锁线圈对地阻值是否正常。",bachmann PLC故障,
661,变速箱低速断路器,系统检测到Q112.2空开反馈信号丢失,"1.检查Q112.2空开是否跳闸。
2.如果Q112.2空开跳闸，检查空开下端是否存在接地点。
3.检查油泵电机是否损坏、运行时是否有异常噪音。
4.检查Q112.2空开调节值是否正确。
5.如果因箱变高压侧跌落保险问题造成Q112.2空开跳闸，确认调节值无问题后，重新合上即可。",bachmann PLC故障,
662,叶轮转速相对测得的发电机转速过小,叶轮转速减去发电机转速<-200rpm超过500ms,"1.检查超速继电器调节值是否正确，右边的1000与左边的1000是否调反，正常是右边调成1000。
2.检查叶轮转速是否正常。
3.检查发电机转速是否突变。
4.检查SpeRot1、SpeRot2转速是否都正常。
5.若为阵风引起，可能PLC程序版本较旧，更新PLC程序。",bachmann PLC故障,
663,发电机转速相对测得的叶轮转速过小,叶轮转速减去发电机转速>200rpm超过500ms,"1.检查超速继电器设置，正确值为（以77叶轮直径机组turck继电器为例）1000MHz/4/6/90/0.5；                                                                    2.服务模式下，启动变桨观察Pitch及Converter菜单下轮毂、发电机转速值是否平稳。
3.使用Rheintacho rotas超速继电器的机组，如果停机或启机偏航过程中报，检查滑环编码器脉冲信号反馈是否正常，如果信号受干扰，可以更换除O和O/外的其他脉冲信号。",bachmann PLC故障,
664,转速超过高限值,转速最大值超过2000rpm,"1.检查turck/Rheintacho rotas超速继电器设置值是否正确。
2.检查滑环编码器固定及反馈线路。
3.检查发电机编码器反馈线路是否有问题。
4.检查发电机编码器外壳对地是否绝缘（正常为绝缘，其信号屏蔽通过外接电缆屏蔽线实现）。
5.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。
6.检查是否为阵风引起，若是，升级PLC程序。
7.检查叶片零位是否校正准确。",bachmann PLC故障,
665,转速超过低限值,转速最大值超过1980rpm,同上,bachmann PLC故障,
666,齿轮箱高速泵无压力,高速泵启动后，齿轮油压小于0.5bar超过15s ,"1.检查油压传感器及线路是否松动。
2.检查程序中油压传感器选型是否正确。
3.数字量油压传感器检查传感器显示屏是否显示乱码。
4.数字量油压传感器机组，运行油泵看油压传感器是否有油压显示，若无油压则可能油泵工作不正常，需检查泵（滤芯）、电机及油管阀门是否正常。
5.检查油泵电机运行是否正常，是否有异常噪音或声音特别轻，如果声音特别轻，可能花键损坏。
6.检查滤芯是否堵塞，是否有较多的杂物，如有检查齿轮箱是否正常。",bachmann PLC故障,
667,电池测得电网断电,系统检测到电池状态处于S0-BatStaDis（电池未连接）或S1-BatStaGri（电网掉电）状态,"1.检查电池开关是否打开。
2.检查电池电压及400V主电源是否正常。
3.检查变桨通讯是否正常。
4.如果机组在自检情况下报此故障，检查变桨SwiOffTor参数值是否在4000≤SwiOffTor≤4500。",bachmann PLC故障,
668,非驱动侧震动传感器短线或损坏,系统检测到电池状态处于S0-BatStaDis（电池未连接）或S1-BatStaGri（电网掉电）状态,"1.检查电池开关是否打开。
2.检查电池电压及400V主电源是否正常。
3.检查变桨通讯是否正常。
4.如果机组在自检情况下报此故障，检查变桨SwiOffTor参数值是否在4000≤SwiOffTor≤4500。",bachmann PLC故障,
669,大小电池测试电压差过小,电池高低负荷测试时，电压偏差小于5V,"1.检查电池测试电阻100Ω/200W（500W）是否损坏，如损坏更换测试电阻。
2.检查电池柜温度是否正常（在5到40度之间），若异常，检查电池柜加热器及测温PT是否正常。
3.检查电池测试回路线路及器件是否正常。
4.检查电池测试过程各元器件动作是否正常，bachmann PM3000W机组电池测试接触器动作过程如下：快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。
5.检查电池是否损坏，每块电池电压是否正常（6块*12V/块*5组，单块电池电压通常在11.5V～13.5V左右）。
6.ABB机组电池状态显示S3快充时，如果充电接触器不吸合，检查从plc59、60口是否输出24V信号，若不输出，检查24Vdc熔丝F240.5是否烧坏。",bachmann PLC故障,
670,发电机信号显示过速,发电机转速信号大于1970rpm,"1.检查发电机编码器反馈线路是否有问题。
2.检查发电机编码器外壳对地是否绝缘（正常为绝缘，其信号屏蔽通过外接电缆屏蔽线实现）。
3.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。
4.检查是否为阵风引起，若是，升级PLC程序。
5.检查叶片零位是否校正准确。",bachmann PLC故障,
671,变频器不同步,线路虚接/变频器程序未刷新/发电机故障/机侧变频器损坏/机侧变频器到8A保险线路不通或保险损坏/发电机定、转子相序错误/并网开关的辅助触点损坏；并网开关的辅助触点没有吸合。,"1.检查电机选型、开口电压、励磁电流设置是否正确。
2.示波器，检查同步时定子侧电压波形相位是否稳定，幅值与电网幅值是否相差大于200V，频率是否正常（正常为50Hz±2Hz）。如果相位不对，更换定子相序；如果频率不对，更换转子相序。
3.检查发电机定转子绕组相间、对地阻值是否正常。
4.检查定子接触器-K150.1线圈供电线路接线是否松动。       5.静态测试变频器至S7-Syn时，如果Gsccur高达100多安（正常为30A），且三相不平衡，且更换发电机转子相序后效果一样。则为发电机转子问题。
6.检查NCC300柜内发电机定子侧到8A保险到机侧变频器接线及插头是否松动，位置是否接对。
7.检查定子侧8A保险是否正常。
8.检查发电机编码器及固定是否正常。
9.使用ABB定子断路器做并网开关机组，如果机组输出并网控制信号，检查控制信号到定子断路器的线路、器件及定子断路器本身是否正常（特别是定子断路器辅助触点是否正常）。
10.使用ABB接触器做并网开关机组，检查接触器辅助触点及辅助触点反馈是否有问题。",bachmann PLC故障,
672,风速计测量错误,线路虚接/变频器程序未刷新/发电机故障/机侧变频器损坏/机侧变频器到8A保险线路不通或保险损坏/发电机定、转子相序错误/并网开关的辅助触点损坏；并网开关的辅助触点没有吸合。,"1.检查电机选型、开口电压、励磁电流设置是否正确。
2.示波器，检查同步时定子侧电压波形相位是否稳定，幅值与电网幅值是否相差大于200V，频率是否正常（正常为50Hz±2Hz）。如果相位不对，更换定子相序；如果频率不对，更换转子相序。
3.检查发电机定转子绕组相间、对地阻值是否正常。
4.检查定子接触器-K150.1线圈供电线路接线是否松动。       5.静态测试变频器至S7-Syn时，如果Gsccur高达100多安（正常为30A），且三相不平衡，且更换发电机转子相序后效果一样。则为发电机转子问题。
6.检查NCC300柜内发电机定子侧到8A保险到机侧变频器接线及插头是否松动，位置是否接对。
7.检查定子侧8A保险是否正常。
8.检查发电机编码器及固定是否正常。
9.使用ABB定子断路器做并网开关机组，如果机组输出并网控制信号，检查控制信号到定子断路器的线路、器件及定子断路器本身是否正常（特别是定子断路器辅助触点是否正常）。
10.使用ABB接触器做并网开关机组，检查接触器辅助触点及辅助触点反馈是否有问题。",bachmann PLC故障,
673,功率测量Sineax断线或损坏,线路虚接/变频器程序未刷新/发电机故障/机侧变频器损坏/机侧变频器到8A保险线路不通或保险损坏/发电机定、转子相序错误/并网开关的辅助触点损坏；并网开关的辅助触点没有吸合。,"1.检查电机选型、开口电压、励磁电流设置是否正确。
2.示波器，检查同步时定子侧电压波形相位是否稳定，幅值与电网幅值是否相差大于200V，频率是否正常（正常为50Hz±2Hz）。如果相位不对，更换定子相序；如果频率不对，更换转子相序。
3.检查发电机定转子绕组相间、对地阻值是否正常。
4.检查定子接触器-K150.1线圈供电线路接线是否松动。       5.静态测试变频器至S7-Syn时，如果Gsccur高达100多安（正常为30A），且三相不平衡，且更换发电机转子相序后效果一样。则为发电机转子问题。
6.检查NCC300柜内发电机定子侧到8A保险到机侧变频器接线及插头是否松动，位置是否接对。
7.检查定子侧8A保险是否正常。
8.检查发电机编码器及固定是否正常。
9.使用ABB定子断路器做并网开关机组，如果机组输出并网控制信号，检查控制信号到定子断路器的线路、器件及定子断路器本身是否正常（特别是定子断路器辅助触点是否正常）。
10.使用ABB接触器做并网开关机组，检查接触器辅助触点及辅助触点反馈是否有问题。",bachmann PLC故障,
674,9小时内风速信号为0,风速显示为0m/s达9小时,"1.ABBPLC机组重启从站PLC。
2.检查PLC模块至风速仪间的通讯线路。
3.检查风速仪转换模块。
4.升级PLC程序。
5.检查thies风速仪参数配置。
6.更换风速仪。",bachmann PLC故障,
675,风速计通讯故障,PLC没有收到风速仪信号超过5s,参考Err160、162,bachmann PLC故障,
676,电池温度PT100传感器,环境温度小于0度时，电池柜温度小于-50度或大于250度,"1.检查电池柜温度传感器线路是否松动。
2.检查电池柜PT100是否损坏。",bachmann PLC故障,
677,电池温度过低,环境温度小于0度时，电池柜温度小于-15度,"1.检查电池柜内加热器功能是否正常（正常为低于15度加热，高于20度停止加热），如加热器损坏，更换加热器。
2.检查电池柜内加热器控制回路是否正常（如K257.7)。
3.检查电池柜温度传感器线路是否松动。
4.检查电池柜PT100是否损坏。
5.按照技改方案，增加电池柜内加热器。",bachmann PLC故障,
678,滤波板PT100断线或损坏,环境温度小于0度时，电池柜温度小于-15度,"1.检查电池柜内加热器功能是否正常（正常为低于15度加热，高于20度停止加热），如加热器损坏，更换加热器。
2.检查电池柜内加热器控制回路是否正常（如K257.7)。
3.检查电池柜温度传感器线路是否松动。
4.检查电池柜PT100是否损坏。
5.按照技改方案，增加电池柜内加热器。",bachmann PLC故障,
