故障代码,故障解释,故障原因,解决方案,SYJX（故障属性）,故障类型
78,机侧变频器电流测量,机侧变频器电流测量问题,"1.手动测试Crowbar，看静态时gsccur是否小于50A，如果gsccur为300多安培，建议更换GSC。
2.如果gsccur在30-50A之间报故障，建议更换新版PLC程序。
3.变频器断电
4.更换GSC",ABB.Pro程序PLC故障,
79,预充电时直流母线电压与电网电压差异过小,网侧电抗问题,"1.如果断开滤波回路125A保险后正常，检查滤波回路1欧电阻、0.1微法电容及其它器件。
2.如果断开滤波回路125A保险无效果，断开网侧变频器交流母排外接电缆后正常，检查网侧电抗是否有问题。

",ABB.Pro程序PLC故障,
80,预留,,,ABB.Pro程序PLC故障,
81,预留,,,ABB.Pro程序PLC故障,
82,轮毂速度波动超出故障极限,系统测得轮毂滑环编码器转速超过限值,1.检查滑环的固定，支撑杆应紧固，滑环在旋转方向上应能够轻微旋动。2.检查RotSpe1和RotSpe2信号，如有一路失真，则可能是滑环编码故障。3.检查turck继电器及接线是否正常。,ABB.Pro程序PLC故障,
83,变桨柜1过温,变桨变频器风扇损坏或变频器损坏,1.检查变桨变频器风扇。2.检查变桨变频器。,ABB.Pro程序PLC故障,
84,变桨柜2过温,变桨变频器风扇损坏或变频器损坏,1.检查变桨变频器风扇。2.检查变桨变频器。,ABB.Pro程序PLC故障,
85,变桨柜3过温,变桨变频器风扇损坏或变频器损坏,1.检查变桨变频器风扇。2.检查变桨变频器。,ABB.Pro程序PLC故障,
86,预留,,,ABB.Pro程序PLC故障,
87,预留,,,ABB.Pro程序PLC故障,
88,预留,,,ABB.Pro程序PLC故障,
89,预留,,,ABB.Pro程序PLC故障,
90,预留,,,ABB.Pro程序PLC故障,
91,旋转时齿轮箱无压力,转速大于100rpm时，齿轮箱油压小于0.5bar超过1min,1.检查齿轮箱油压传感器接线。2.检查油压传感器供电电源。3.检查油泵电机工作是否正常。4.检查程序中传感器选型（数字量/模拟量是否选错，OilPreSenDig为False时表示模拟量油压传感器，反之为数字量油压传感器）。5.数字量油压传感器设置方法：按住moder，然后给传感器通电。SP1:0.6； HY1:0.1； SP2:15；  HY2:0.5；s1:on；  s2:off；继续连续按几次moder至END。将NO改为YES。所有的设置均保存。油压传感器的连线图参见017. 0034.01A的X226.5。,ABB.Pro程序PLC故障,
92,未启动油泵时齿轮箱压力,线路接错或程序问题,1.检查油压传感器接线。2.如为数字量油压传感器，检查油压数字量油压传感器设置值。检查油压传感器显示屏显示值与控制面板显示值是否一致。3.检查程序中传感器选型（数字量/模拟量是否选错，OilPreSenDig为False时表示模拟量油压传感器，反之为数字量油压传感器）。,ABB.Pro程序PLC故障,
93,齿轮箱加热超时,齿轮箱加热时间超过6h,1.检查齿轮箱加热回路线路是否正常。2.检查齿轮箱加热器是否正常。,ABB.Pro程序PLC故障,
94,电池充电超时,蓄电池充电时间超过6h,1.检查电池充电回路线路。2.检查充电回路电阻阻值。3.检查充电回路继电器、接触器。4.检查电池实际电压在充电状态下是否上涨。,ABB.Pro程序PLC故障,
95,偏航超时,偏航状态大于7状态，偏航时间超过30min,1.检查偏航传感器线路。2.检查偏航左右极限位置是否在偏航角度小于600度时触发，若是，建议重调凸轮（调时电缆必须完全垂直），或者暂时在服务模式下往另一方向偏航180度以上。                                                        3.更换偏航传感器,ABB.Pro程序PLC故障,
96,叶轮转速信号不同,SpeRot1与SpeRot2之间差值大于100rpm超过1s,1.检查TRUCK超速继电器及其调节值是否正常。2.检查滑环编码器信号反馈是否正常。,ABB.Pro程序PLC故障,
97,速度继电器1电缆切断,A240.3-EW6.00接收到的叶轮转速1信号反馈小于4mA,1.检查B234.4 turck继电器到PLC的线路。2.检查B234.4 turck供电电源。3.更换B234.4 turck继电器,ABB.Pro程序PLC故障,
98,速度继电器2电缆切断,A240.3-EW6.01接收到的叶轮转速2信号反馈小于4mA,1.检查B234.6 turck继电器到PLC的线路。2.检查B234.6 turck供电电源。3.更换B234.6 turck继电器,ABB.Pro程序PLC故障,
99,预留,,,ABB.Pro程序PLC故障,
100,预留,,,ABB.Pro程序PLC故障,
101,预留,,,ABB.Pro程序PLC故障,
102,预留,,,ABB.Pro程序PLC故障,
103,NCC310柜急停按钮,NCC310柜急停按钮拍下或线路问题,1.检查NCC310柜急停按钮是否拍下。2.检查急停按钮反馈回路24Vdc是否正常。3.检查急停及急停反馈线路是否正常。,ABB.Pro程序PLC故障,
104,CTB300齿轮箱急停按钮,齿轮箱左右侧急停按钮拍下或线路问题,1.检查齿轮箱急停按钮是否拍下。2.检查急停按钮反馈回路24Vdc是否正常。3.检查急停及急停反馈线路是否正常。4.如果运行过程中与Err23、29、11、12、105、145同时报，检查变频器、350A保险、Crowbar管状电阻、定子接触器24V线圈等是否正常。,ABB.Pro程序PLC故障,
105,TBC100急停按钮,TBC100柜急停按钮拍下或线路问题,1.检查塔基柜急停按钮是否拍下。2.检查急停按钮反馈回路24Vdc是否正常。3.检查急停及急停反馈线路是否正常。4.如果运行过程中与Err23、29、11、12、105、145同时报，检查变频器、350A保险、Crowbar管状电阻、定子接触器24V线圈等是否正常。,ABB.Pro程序PLC故障,
106,机舱电池电压过高或者无连接,电池电压大于450V超过0.5s,1.检查电池电压测量回路电阻是否正常（220K±3K/4.7K±0.2K）。2.检查电池电压测量回路线路连接是否正常。3.检查电池电压测量回路电压/电流变送器是否正常。,ABB.Pro程序PLC故障,
107,高压变压器温度,系统检测到箱变温度低于-20度或高于155度,1.检查系统接收的箱变绕组温度信号是否使用100欧电阻替代，若是，检查电阻接线是否正常。若否，检查箱变实际反馈的信号是否正常。2.检查测温回路浪涌是否正常。,ABB.Pro程序PLC故障,
108,发电机U相温度高,发电机绕组温度小于-50或大于250度,1.检查发电机绕组测温PT100至PLC模块间线路。2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。,ABB.Pro程序PLC故障,
109,发电机V相温度高,发电机绕组温度小于-50或大于250度,1.检查发电机绕组测温PT100至PLC模块间线路。2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。,ABB.Pro程序PLC故障,
110,发电机W相温度高,发电机绕组温度小于-50或大于250度,1.检查发电机绕组测温PT100至PLC模块间线路。2.测量发电机绕组测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。,ABB.Pro程序PLC故障,
111,发电机驱动侧轴承温度高,发电机驱动端轴承温度小于-50或大于250度,1.检查发电机驱动端轴承测温PT100至PLC模块间线路。2.测量发电机驱动端轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。,ABB.Pro程序PLC故障,
112,发电机非驱动侧轴承温度高,发电机非驱动端轴承温度小于-50或大于250度,1.检查发电机非驱动端轴承测温PT100至PLC模块间线路。2.测量发电机非驱动端轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果同相绕组的2个PT100均损坏，联系发电机厂家解决。,ABB.Pro程序PLC故障,
113,齿轮箱轴承温度,齿轮箱轴承温度小于-50或大于250度,1.检查齿轮箱轴承测温PT100至PLC模块间线路。2.测量齿轮箱轴承测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100（一个传感器内部有两组接线，代表两个PT），如果2个PT均损坏，更换PT。,ABB.Pro程序PLC故障,
114,齿轮箱油温,齿轮箱油温温度小于-50或大于250度,1.检查齿轮箱油温测温PT100至PLC模块间线路。2.测量齿轮箱油温测温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100（一个传感器内部有两组接线，代表两个PT），如果2个PT均损坏，更换PT。,ABB.Pro程序PLC故障,
115,机舱电池柜电压过低或者无连接,电池电压小于100V超过1s或电池电压小于330V超过20s,1.检查电池柜内空开及NCC310柜电池开关是否闭合。2.检查电池实际电压是否与显示电压一直。3.检查电池柜内每组电池电压是否差别很大。4.检查电池电压测量回路电阻是否正常（220K±3K/4.7K±0.2K）。5.检查电池电压测量回路线路连接是否正常。6.检查电池电压测量回路电压/电流变送器是否正常。7.检查电网断电后电池切出保护功能是否正常（停电时，ABB、bachmann简版机组延时5-10min切出，bachmann+PM3000W机组延时5mink210.5机械锁动作，延时15-20min机舱断电，延时30min塔基断电）。,ABB.Pro程序PLC故障,
116,机舱温度高,机舱温度大于55度,1.检查机舱测温PT100接线及阻值。2.检查机舱实际温度是否确实高，检查油冷扇热器帆布是否安装不好，导致热风吹到机舱内部。,ABB.Pro程序PLC故障,
117,机舱温度传感器故障,机舱温度小于-50度或大于250度,1.检查机舱测温PT100接线及阻值。,ABB.Pro程序PLC故障,
118,转子侧电感过温,机侧电抗温度大于155度,1.检查机侧电抗测温PT100是否正常。2.检查机侧电抗测温PT100至PLC模块间线路是否正常。3.检查水冷系统及NCC320柜内风扇是否正常。4.bachmann+PM3000W机组检查电抗上端风扇是否工作正常。,ABB.Pro程序PLC故障,
119,网侧变频器滤波器保险,滤波保险反馈出错,1.检查滤波回路保险及反馈信号是否正常。可能是1欧滤波电阻烧坏引起保险烧坏。更换滤波电阻时必须均匀涂抹导热硅胶，且固定螺丝必须拧紧（原先梅花螺丝不易拧紧，建议使用内六角螺丝紧固）。2.如果仅仅是反馈信号出问题，滤波保险正常，建议将该反馈信号去除（017[1].0034.02B版图纸开始已经不检测该反馈信号）。,ABB.Pro程序PLC故障,
120,未达到偏航额定转速,偏航速度低或偏航方向与给定方向不一致；偏航程序版本或偏航变频器问题,1.检查偏航传感器是否正常。2.检查偏航传感器内部编码器至PLC模块的接线及脉冲反馈是否正常。3.检查偏航功率是否过高，如果大于12kw，建议重调偏航力矩来减小偏航功率。4.检查偏航电机转向是否正常，服务模式下控制面板左转时，实际是否左转且机舱角度也递减。5.如果是Vacon偏航变频器机组，可能是偏航变频器程序问题，更新偏航变频器程序可解决。6.如果偏航变频器温度静止时为0，但一偏航就快速变到-1500度，更换偏航变频器。,ABB.Pro程序PLC故障,
121,环境温度高,环境温度大于50度,1.检查环境PT100及其线路是否正常。2.如果使用Thies风速仪测量环境温度，建议技改为外接PT测温。3.如果已经技改为外接PT测温，检查程序中是否设置为外接PT测温。,ABB.Pro程序PLC故障,
122,发电机温度高,发电机绕组最高温度大于155度,1.检查发电机三相绕组温度是否有高于155度，如有，检查对应项测温PT及线路。2.测量对应PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果备用PT也损坏，联系发电机厂家解决。,ABB.Pro程序PLC故障,
123,发电机轴承温度,发电机轴承温度大于110度,1.检查发电机轴承温度是否有高于110度，如有，检查对应测温PT及线路。2.测量对应PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。3.如果PT100损坏，改接线到备用PT100，如果备用PT也损坏，联系发电机厂家解决。,ABB.Pro程序PLC故障,
124,齿轮箱油温,齿轮箱油温大于80度,1.检查油冷风扇电机是否接在高速侧，风扇转向是否正确（正常是往外抽风）。2.检查轴温PT100接线是否松动，测出的温度与实际温度是否相符。3.检查油温PT和轴温PT是否接反。4.测量轴温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。5.如果PT100损坏，改接到备用PT100，如果备用PT也损坏，更换PT。6.检查油冷部分，包括油冷风扇/管路/散热片，可通过手动启动风扇的方法判断其是否运行，手摸油管判断油是否流经散热片，如果油没有流经大循环，散热片接入油管温度会不高，可能是油冷泵的温控阀损坏，需更换温控阀。7.检查油冷散热片是否堵塞，灰层是否较多，若是，需及时清洗。8.如果油压很低，检查油过滤器滤芯是否有问题。,ABB.Pro程序PLC故障,
125,机舱控制柜温度,机舱控制柜温度大于65度,1.检查机舱控制柜NCC300-320温度是否有大于65的。2.机舱控制柜NCC300-320测温PT及接线是否正常。3.检查水冷系统是否正常。4.检查机舱控制柜内加热器是否一直工作，若是，检查温控开关及调节值是否正常（机舱控制柜内温控开关设定值在5-10度为宜，太低对电气元件工作不利，送电瞬间易烧坏电源等）。5.检查柜内风扇工作是否正常。6.检查柜内温控开关设定值及工作是否正常。,ABB.Pro程序PLC故障,
126,齿轮箱轴承温度,齿轮箱轴承温度大于95度,1.检查油冷风扇电机是否接在高速侧，风扇转向是否正确（正常是往外抽风）。2.检查油温PT100接线是否松动，测出的温度与实际温度是否相符。3.测量油温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。4.如果PT100损坏，改接到备用PT100，如果备用PT也损坏，更换PT。5.检查油冷部分，包括油冷风扇/管路/散热片，可通过手动启动风扇的方法判断其是否运行，手摸油管判断油是否流经散热片，如果油没有流经大循环，散热片接入油管温度会不高，可能是油冷泵的温控阀损坏，需更换油冷泵。 6.如果油压很低，检查油过滤器滤芯是否有问题。,ABB.Pro程序PLC故障,
127,刹车片磨损大于2mm,0,1.检查S222.6（安装在制动器中间位置的传感器）刹车报警传感器线路。2.检查S222.6传感器固定是否松动。3.检查刹车片是否磨损到需要更换。+H107,ABB.Pro程序PLC故障,
128,刹车泵无压力,PLC模块接收不到制动泵压力反馈,1.检查制动器液压油位、压力传感器供电及反馈信号2.将+NCC310柜门上开关打到手动，手动反复启动制动器，同时测量制动器反馈24VDC信号，制动器打开时，应有反馈24VDC信号。3.检查制动器压力开关反馈信号接线，通常为棕色线brown: +TB300-X222.3:3 / 蓝色线blue: +TB300-X222.3:2 / 黑色线black: +TB300-X222.3:4。有时候反馈线的延时不是黑色，可能是白色。4.如果雷雨天气导致，可能是压力开关受雷击损坏，建议更换并及时做好防雷技改和零地分离技改。5.更换防雷能力强的制动器压力传感器。,ABB.Pro程序PLC故障,
129,安全链没有检测到制动器关闭,机组手动/自动转换开关在自动档时，Ibra反馈为0V，但是ISafBraPos有24V。,1.检查PLC A240.3-E62.14 (ISafBraPos)端口是否有24Vdc信号反馈。2.检查k228.8继电器工作是否正常。3.检查制动器位置传感器S222.7至A240.3-E62.03 (IBra)端口线路是否松动。4.检查k246.1:11至k228.8:14间线路是否正常。,ABB.Pro程序PLC故障,
130,齿轮箱油位低,油位传感器信号触发或线路松动,"1.检查实际油位是否低（油温在20度左右时，油位处于油位计的红色标记范围或2/3处为宜，刚吊装机组建议：冬季加到2/3, 夏季加到4/5）。2.检查是否漏油、渗油。3.检查油位开关供电是否正常。4.检查油位开关至PLC模块间线路是否松动。5.如果不漏油且油温在35度以下报此故障，建议更新PLC程序。6.如果齿轮箱厂家为南高齿，可能是油位开关本身质量问题，建议更换新型油位计或联系厂家更换新型油位计。",ABB.Pro程序PLC故障,
131,齿轮箱油温大于90度,齿轮箱油温开关触发或线路松动,1.检查故障发生时实际油温、轴温是否大于90度。2.检查GB300-S226.3油温开关电源是否正常。3.检查GB300-S226.3油温开关至PLC模块IGeaTem端口线路是否松动。4.检查油温开关工作是否正常（小于90度时为常闭点）。,ABB.Pro程序PLC故障,
132,刹车泵断路器,制动泵电机保护空开（电机启动器）反馈信号错误,1.检查制动泵电机空开是否跳闸，如果跳闸，检查空开下端是否存在接地点（如：接触器损坏、线路接地、短路、制动泵电机损坏等）。2.检查制动泵电机保护空开反馈IBraPumFus是否正常，线路是否松动。,ABB.Pro程序PLC故障,
133,接地故障保护限制低,0,1.检查NCC300柜内母排电网电流互感器接线是否松动。        2.更换变频器后插头没插好或变频器损坏。3.电机转子绕组接地，发电机损坏。4.检查T170.6的24V供电及反馈到A240.3PLC的线路；5.检查定子接触器。,ABB.Pro程序PLC故障,
134,接地故障保护限制高,0,1.检查NCC300柜内母排电网电流互感器接线是否松动。        2.更换变频器后插头没插好或变频器损坏。3.电机转子绕组接地，发电机损坏。4.检查T170.6的24V供电及反馈到A240.3PLC的线路；5.检查定子接触器。,ABB.Pro程序PLC故障,
135,"电池检测失败三次,低电压",电池测试中高低负载电压偏差不符合要求,"1.检查电池电压测试电阻是否正常（2个100欧并联,R202.4和R202.5)。2.检查蓄电池柜温度是否低于5度，若是等待加热，如果温度不上升，检查电池柜内加热器工作是否正常。3.检查NCC310柜内K257.4/K212.2是否正常。4.检查NCC310柜内K212.4辅助触点是否正常。bachmann PM3000W机组电池测试接触器动作过程如下：快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。",ABB.Pro程序PLC故障,
136,预留,,,ABB.Pro程序PLC故障,
137,接地故障保护信号切断,故障电流小于-10A,1.检查NCC310-A240.3-EW6.07/FaiCur)至故障电流互感器NCC300-T170.6之间的线路是否正常。2.检查故障电流互感器是否损坏（正常情况有4-20mA直流电流输出）。,ABB.Pro程序PLC故障,
138,停止时机舱位置变化,未偏航时，系统检测到机舱角度变化,1.MGM偏航电机正上方（外壳顶部）螺丝没有去除，导致偏航电机刹车一直处于打开状态。将MGM偏航电机上方螺丝去除即可。2.检查偏航电机刹车供电控制继电器K118.8触点是否一直处于导通状态，正常为偏航时线圈得电触点闭合、不偏航时线圈失电触点断开。3.检查凸轮开关固定及内部编码器固定是否松动。4.如果以上原因都排除，可能是接收凸轮编码器的plc或模块问题。,ABB.Pro程序PLC故障,
139,自动刹车调节,PLC接收的刹车自动调节信号丢失,1.检查PLC A240.3-E62.04 (IBraAdj)端口是否有24Vdc信号反馈。2.检查制动器位置传感器S222.7至A240.3-E62.04 (IBraAdj)端口线路是否松动。3.检查制动器位置传感器S222.7是否松动。4.检查S222.6与S222.7是否接反。5.检查刹车间隙是否满足要求。,ABB.Pro程序PLC故障,
140,机舱位置超出,急停未拍下时，解缆保护信号触发超过2s,1.如果故障不可复位，可能偏航凸轮开关设置或调节有误，偏航左、右极限位置的触发应先于解缆位置保护，即图纸中1、2号凸轮环应先于3号凸轮环触发。建议在电缆完全垂直状态下，重新调整偏航凸轮开关。2.如果故障可复位，检查偏航电机刹车反馈回路是否有接地，导致偏航变频器20号端子无24V输出。找到接地点，处理好即可。,ABB.Pro程序PLC故障,
141,偏航变频器保险丝,PLC模块检测到偏航变频器空开反馈信号丢失,1.检查偏航变频器空开F118.2是否断开。2.检查偏航变频器空开F118.2反馈信号至PLC是否松动。,ABB.Pro程序PLC故障,
142,保险或直流电源接地,系统检测到F200.2空开反馈信号丢失,1.检查F200.2空开是否断开或损坏，如果跳开，检查空开下端是否有接地点。2.检查F200.2空开反馈是否有问题。3.如果空开跳开，检查变桨变频器＋＋端口与PB间的制动电阻是否有问题。4.如果空开跳开，检查变桨控制柜间电源线是否有问题。5.如果空开跳开，检查蓄电池是否正常。,ABB.Pro程序PLC故障,
143,刹车打开位置未到达,系统检测不到刹车打开信号,1.检查S222.7传感器至PLC模块间线路是否松动。2.检查S222.7传感器是否正常。3.检查制动器间隙是否正常。,ABB.Pro程序PLC故障,
144,齿轮箱泵高速运行断路器,系统检测到Q112.4空开反馈信号丢失,1.检查Q112.4空开是否跳闸。2.如果Q112.4空开跳闸，检查空开下端是否存在接地点。3.检查油泵电机是否损坏、运行时是否有异常噪音。4.检查Q112.4空开调节值是否正确。5.如果因箱变高压侧跌落保险问题造成Q112.4空开跳闸，确认调节值无问题后，重新合上即可。,ABB.Pro程序PLC故障,
145,叶轮锁开关未设定在自动模式,系统检测到NCC310柜门自动/手动 钥匙在手动位置,1.检查NCC310柜门自动/手动 钥匙是否在手动位置，自动运行时需要转到自动位置。2.检查NCC310柜门自动/手动 钥匙是否工作正常。3.如果即将并网时伴随F230.6保险一起烧坏，检查定子接触器24V线圈回路对地电阻是否大于1KΩ。4.如果运行过程中与Err23、29、11、12、104、105同时报，检查变频器、350A保险、Crowbar管状电阻、定子接触器24V线圈等是否正常。,ABB.Pro程序PLC故障,
146,刹车阀故障,系统检测到制动泵频繁动作超过15s,1.检查制动器电池阀Y222.4供电是否正常。2.检查制动器电池阀Y222.4接线是否松动。3.检查制动器电池阀Y222.4是否损坏。,ABB.Pro程序PLC故障,
147,400V中断,系统检测到400V电源中断,1.检查机组400V外接电源是否正常，箱变400V是否跳闸。2.检查三相400V电源监视继电器是否正常。3.检查三相400V电源监视继电器至PLC测量模块间线路是否正常。4.检查三相400V多功能继电器调节值是否正确（bachmann+PM3000W机组）。5.检查是否与Err142同时报出，若是，按照Err142处理方案处理。,ABB.Pro程序PLC故障,
148,电池接地故障,系统检测到电池状态处于S7-BatStaEar状态（电池电压大于650V超过10s）,1.检查电池柜及电池电压充电、测量回路是否松动，是否存在接地点。2.检查电池电压测量测量回路电阻是否正常。（220K±3K/4.7K±0.2K）。3.检查电池电压测量回路电压/电流变送器是否正常。4.检查电池柜内电池是否存在鼓包、破损现象。5.检查电池柜内每组电池电压是否正常。6.检查电池放电保护继电器（k210.5）是否正常。7.检查电池放电保护继电器（k210.5）机械锁线圈对地阻值是否正常。,ABB.Pro程序PLC故障,
149,齿轮箱泵低速运行断路器,系统检测到Q112.2空开反馈信号丢失,1.检查Q112.2空开是否跳闸。2.如果Q112.2空开跳闸，检查空开下端是否存在接地点。3.检查油泵电机是否损坏、运行时是否有异常噪音。4.检查Q112.2空开调节值是否正确。5.如果因箱变高压侧跌落保险问题造成Q112.2空开跳闸，确认调节值无问题后，重新合上即可。,ABB.Pro程序PLC故障,
150,叶轮转速差异小,叶轮转速减去发电机转速<-200rpm超过500ms,1.检查超速继电器调节值是否正确，右边的1000与左边的1000是否调反，正常是右边调成1000。2.检查叶轮转速是否正常。3.检查发电机转速是否突变。4.检查SpeRot1、SpeRot2转速是否都正常。5.若为阵风引起，可能PLC程序版本较旧，更新PLC程序。,ABB.Pro程序PLC故障,
151,发电机转速差异过小,叶轮转速减去发电机转速>200rpm超过500ms,1.检查超速继电器设置，正确值为（以77叶轮直径机组turck继电器为例）1000MHz/4/6/90/0.5；                                                                    2.服务模式下，启动变桨观察Pitch及Converter菜单下轮毂、发电机转速值是否平稳。3.使用Rheintacho rotas超速继电器的机组，如果停机或启机偏航过程中报，检查滑环编码器脉冲信号反馈是否正常，如果信号受干扰，可以更换除O和O/外的其他脉冲信号。,ABB.Pro程序PLC故障,
152,严重超速,转速最大值超过2000rpm,1.检查turck/Rheintacho rotas超速继电器设置值是否正确。2.检查滑环编码器固定及反馈线路。3.检查发电机编码器反馈线路是否有问题。4.检查发电机编码器外壳对地是否绝缘（正常为绝缘，其信号屏蔽通过外接电缆屏蔽线实现）。5.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。6.检查是否为阵风引起，若是，升级PLC程序。7.检查叶片零位是否校正准确。,ABB.Pro程序PLC故障,
153,轻微超速,转速最大值超过1980rpm,同上,ABB.Pro程序PLC故障,
154,齿轮箱高速泵无压力,高速泵启动后，齿轮油压小于0.5bar超过15s,1.检查油压传感器及线路是否松动。2.检查程序中油压传感器选型是否正确。3.数字量油压传感器检查传感器显示屏是否显示乱码。4.数字量油压传感器机组，运行油泵看油压传感器是否有油压显示，若无油压则可能油泵工作不正常，需检查泵（滤芯）、电机及油管阀门是否正常。5.检查油泵电机运行是否正常，是否有异常噪音或声音特别轻，如果声音特别轻，可能花键损坏。6.检查滤芯是否堵塞，是否有较多的杂物，如有检查齿轮箱是否正常。,ABB.Pro程序PLC故障,
155,电池检测电网掉电,系统检测到电池状态处于S0-BatStaDis（电池未连接）或S1-BatStaGri（电网掉电）状态,1.检查电池开关是否打开。2.检查电池电压及400V主电源是否正常。3.检查变桨通讯是否正常。4.如果机组在自检情况下报此故障，检查变桨SwiOffTor参数值是否在4000≤SwiOffTor≤4500。,ABB.Pro程序PLC故障,
156,机舱位置变化太小,机舱位置变化小于给定的60%,1.检查偏航传感器线路。2.检查偏航时角度反馈是否正常。3.检查偏航电机工作是否正常。4.更换偏航传感器或传感器内部编码器。5.如果雷击引起，可能凸轮内编码器损坏，检查更换编码器，并尽快做好防雷技改和零地分离技改。,ABB.Pro程序PLC故障,
157,电池测试时电压变化小,电池高低负荷测试时，电压偏差小于5V,1.检查电池测试电阻100Ω/200W（500W）是否损坏，如损坏更换测试电阻。2.检查电池柜温度是否正常（在5到40度之间），若异常，检查电池柜加热器及测温PT是否正常。3.检查电池测试回路线路及器件是否正常。4.检查电池测试过程各元器件动作是否正常，bachmann PM3000W机组电池测试接触器动作过程如下：快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。5.检查电池是否损坏，每块电池电压是否正常（6块*12V/块*5组，单块电池电压通常在11.5V～13.5V左右）。6.ABB机组电池状态显示S3快充时，如果充电接触器不吸合，检查从plc59、60口是否输出24V信号，若不输出，检查24Vdc熔丝F240.5是否烧坏。,ABB.Pro程序PLC故障,
158,发电机信号检测到超速,发电机转速信号大于1970rpm,1.检查发电机编码器反馈线路是否有问题。2.检查发电机编码器外壳对地是否绝缘（正常为绝缘，其信号屏蔽通过外接电缆屏蔽线实现）。3.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。4.检查是否为阵风引起，若是，升级PLC程序。5.检查叶片零位是否校正准确。,ABB.Pro程序PLC故障,
159,变频器不同步,线路虚接/变频器程序未刷新/发电机故障/机侧变频器损坏/机侧变频器到8A保险线路不通或保险损坏/发电机定、转子相序错误/并网开关的辅助触点损坏；并网开关的辅助触点没有吸合。,"1.检查电机选型、开口电压、励磁电流设置是否正确。2.示波器，检查同步时定子侧电压波形相位是否稳定，幅值与电网幅值是否相差大于200V，频率是否正常（正常为50Hz±2Hz）。如果相位不对，更换定子相序；如果频率不对，更换转子相序。3.检查发电机定转子绕组相间、对地阻值是否正常。4.检查定子接触器-K150.1线圈供电线路接线是否松动。5.静态测试变频器至S7-Syn时，如果Gsccur高达100多安（正常为30A），且三相不平衡，且更换发电机转子相序后效果一样。则为发电机转子问题。6.检查NCC300柜内发电机定子侧到8A保险到机侧变频器接线及插头是否松动，位置是否接对。7.检查定子侧8A保险是否正常。8.检查发电机编码器及固定是否正常。9.使用ABB定子断路器做并网开关机组，如果机组输出并网控制信号，检查控制信号到定子断路器的线路、器件及定子断路器本身是否正常（特别是定子断路器辅助触点是否正常）。10.使用ABB接触器做并网开关机组，检查接触器辅助触点及辅助触点反馈是否有问题。11.如果并网后不久变频器状态跳到S60,之后又跳到同步检测状态，然后报159或24号故障，检查发电机编码器及固定。",ABB.Pro程序PLC故障,
160,风速仪测量错误,风速显示为0m/s或时有时无,1.检查程序中风速仪选型是否正确。2.检查风速风向仪供电及反馈信号回路是否正常。3.升级PLC程序。4.检查thies风速仪风速风向仪参数配置是否正确（参数MA－03 DM－01 PC－00  TT－02  OR－100，修改完参数上电前需将风速仪外接的1、4号线短接）。5.检查thies风速仪AA、AB、AC这三个参数如果为00003，则需要改为00000（风速仪说明书中有介绍），否则可能会出现风速时有时无的问题。6.检查测风回路浪涌保护器是否正常。7.检查风速仪回路RS485转换模块及模块拨码是否正常（ABB机组）8.机械式风速仪检查反馈信号是否在4-20mA范围内。9.更换风速仪。,ABB.Pro程序PLC故障,
161,预留,,,ABB.Pro程序PLC故障,
162,连续9小时风速为0,风速显示为0m/s达9小时,1.ABBPLC机组重启从站PLC。2.检查PLC模块至风速仪间的通讯线路。3.检查风速仪转换模块。4.升级PLC程序。5.检查thies风速仪参数配置。6.更换风速仪。,ABB.Pro程序PLC故障,
163,风速仪通讯错误,PLC没有收到风速仪信号超过5s,参考Err160、162,ABB.Pro程序PLC故障,
