故障代码,故障描述/现象,故障原因,解决方案
630,机侧电抗温度高,机侧电抗温度大于155度,"1.检查机侧电抗测温PT100是否正常。
2.检查机侧电抗测温PT100至PLC模块间线路是否正常。
3.检查水冷系统及NCC320柜内风扇是否正常。
4.bachmann+PM3000W机组检查电抗上端风扇是否工作正常。"
631,滤波保险故障,滤波保险反馈出错,"1.检查滤波回路保险及反馈信号是否正常。可能是1欧滤波电阻烧坏引起保险烧坏。更换滤波电阻时必须均匀涂抹导热硅胶，且固定螺丝必须拧紧（原先梅花螺丝不易拧紧，建议使用内六角螺丝紧固）。
2.如果仅仅是反馈信号出问题，滤波保险正常，建议将该反馈信号去除（017[1].0034.02B版图纸开始已经不检测该反馈信号）。"
632,发电状态下定子断路器反馈信号丢失,发电状态下定子断路器反馈信号异常,1.检查定子断路器反馈信号是否正常。
633,环境温度高,环境温度大于50度,"1.检查环境PT100及其线路是否正常。
2.如果使用Thies风速仪测量环境温度，建议技改为外接PT测温。
3.如果已经技改为外接PT测温，检查程序中是否设置为外接PT测温。"
634,发电机温度高,发电机绕组最高温度大于155度,"1.检查发电机三相绕组温度是否有高于155度，如有，检查对应项测温PT及线路。
2.测量对应PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果备用PT也损坏，联系发电机厂家解决。"
635,发电机轴承温度高,发电机轴承温度大于110度,"1.检查发电机轴承温度是否有高于110度，如有，检查对应测温PT及线路。
2.测量对应PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
3.如果PT100损坏，改接线到备用PT100，如果备用PT也损坏，联系发电机厂家解决。"
636,齿轮箱油温高,齿轮箱油温大于80度,"1.检查油冷风扇电机是否接在高速侧，风扇转向是否正确（正常是往外抽风）。
2.检查轴温PT100接线是否松动，测出的温度与实际温度是否相符。
3.检查油温PT和轴温PT是否接反。
4.测量轴温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
5.如果PT100损坏，改接到备用PT100，如果备用PT也损坏，更换PT。
6.检查油冷部分，包括油冷风扇/管路/散热片，可通过手动启动风扇的方法判断其是否运行，手摸油管判断油是否流经散热片，如果油没有流经大循环，散热片接入油管温度会不高，可能是油冷泵的温控阀损坏，需更换温控阀。
7.检查油冷散热片是否堵塞，灰层是否较多，若是，需及时清洗。
8.如果油压很低，检查油过滤器滤芯是否有问题。
"
637,机舱控制柜温度高,机舱控制柜温度大于65度,"1.检查机舱控制柜NCC300-320温度是否有大于65的。
2.机舱控制柜NCC300-320测温PT及接线是否正常。
3.检查水冷系统是否正常。
4.检查机舱控制柜内加热器是否一直工作，若是，检查温控开关及调节值是否正常（机舱控制柜内温控开关设定值在5-10度为宜，太低对电气元件工作不利，送电瞬间易烧坏电源等）。
5.检查柜内风扇工作是否正常。
6.检查柜内温控开关设定值及工作是否正常。"
638,齿轮箱轴承温度高,齿轮箱轴承温度大于95度,"1.检查油冷风扇电机是否接在高速侧，风扇转向是否正确（正常是往外抽风）。
2.检查油温PT100接线是否松动，测出的温度与实际温度是否相符。
3.测量油温PT100阻值，0度时电阻为100欧左右，温度每上升1度，电阻值上升0.39欧。
4.如果PT100损坏，改接到备用PT100，如果备用PT也损坏，更换PT。
5.检查油冷部分，包括油冷风扇/管路/散热片，可通过手动启动风扇的方法判断其是否运行，手摸油管判断油是否流经散热片，如果油没有流经大循环，散热片接入油管温度会不高，可能是油冷泵的温控阀损坏，需更换油冷泵。 6.如果油压很低，检查油过滤器滤芯是否有问题。"
639,刹车片磨损大于2mm,,"1.检查S222.6（安装在制动器中间位置的传感器）刹车报警传感器线路。
2.检查S222.6传感器固定是否松动。
3.检查刹车片是否磨损到需要更换。
+H107"
640,制动泵无压力,PLC模块接收不到制动泵压力反馈,"1.检查制动器液压油位、压力传感器供电及反馈信号
2.将+NCC310柜门上开关打到手动，手动反复启动制动器，同时测量制动器反馈24VDC信号，制动器打开时，应有反馈24VDC信号。
3.检查制动器压力开关反馈信号接线，通常为棕色线brown: +TB300-X222.3:3 / 蓝色线blue: +TB300-X222.3:2 / 黑色线black: +TB300-X222.3:4。有时候反馈线的延时不是黑色，可能是白色。
4.如果雷雨天气导致，可能是压力开关受雷击损坏，建议更换并及时做好防雷技改和零地分离技改。
5.更换防雷能力强的制动器压力传感器。"
641,安全链没有检测到制动器关闭,机组手动/自动转换开关在自动档时，Ibra反馈为0V，但是ISafBraPos有24V。,"1.检查PLC A240.3-E62.14 (ISafBraPos)端口是否有24Vdc信号反馈。
2.检查k228.8继电器工作是否正常。
3.检查制动器位置传感器S222.7至A240.3-E62.03 (IBra)端口线路是否松动。
4.检查k246.1:11至k228.8:14间线路是否正常。"
642,齿轮箱油位低,油位传感器信号触发或线路松动,"1.检查实际油位是否低（油温在20度左右时，油位处于油位计的红色标记范围或2/3处为宜，刚吊装机组建议：冬季加到2/3, 夏季加到4/5）。
2.检查是否漏油、渗油。
3.检查油位开关供电是否正常。
4.检查油位开关至PLC模块间线路是否松动。
5.如果不漏油且油温在35度以下报此故障，建议更新PLC程序。
6.如果齿轮箱厂家为南高齿，可能是油位开关本身质量问题，建议更换新型油位计或联系厂家更换新型油位计。"
643,齿轮箱油温大于90度,齿轮箱油温开关触发或线路松动,"1.检查故障发生时实际油温、轴温是否大于90度。
2.检查GB300-S226.3油温开关电源是否正常。
3.检查GB300-S226.3油温开关至PLC模块IGeaTem端口线路是否松动。
4.检查油温开关工作是否正常（小于90度时为常闭点）。"
644,刹车泵断路器,制动泵电机保护空开（电机启动器）反馈信号错误,"1.检查制动泵电机空开是否跳闸，如果跳闸，检查空开下端是否存在接地点（如：接触器损坏、线路接地、短路、制动泵电机损坏等）。
2.检查制动泵电机保护空开反馈IBraPumFus是否正常，线路是否松动。"
645,预充电旁路接触器,预充电旁路接触器状态错误,"1.检查预充电旁路接触器K340.3控制及反馈是否正常。
2.检查预充电旁路接触器K340.3是否正常。"
647,"电池检测失败三次,低电压",电池测试中高低负载电压偏差不符合要求,"1.检查电池电压测试电阻是否正常（2个100欧并联,R202.4和R202.5)。
2.检查蓄电池柜温度是否低于5度，若是等待加热，如果温度不上升，检查电池柜内加热器工作是否正常。
3.检查NCC310柜内K257.4/K212.2是否正常。
4.检查NCC310柜内K212.4辅助触点是否正常。
bachmann PM3000W机组电池测试接触器动作过程如下：
快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。"
651,自动刹车调节,PLC接收的刹车自动调节信号丢失,"1.检查PLC A240.3-E62.04 (IBraAdj)端口是否有24Vdc信号反馈。
2.检查制动器位置传感器S222.7至A240.3-E62.04 (IBraAdj)端口线路是否松动。
3.检查制动器位置传感器S222.7是否松动。
4.检查S222.6与S222.7是否接反。
5.检查刹车间隙是否满足要求。"
654,保险或直流电源接地,系统检测到F200.2空开反馈信号丢失,"1.检查F200.2空开是否断开或损坏，如果跳开，检查空开下端是否有接地点。
2.检查F200.2空开反馈是否有问题。
3.如果空开跳开，检查变桨变频器＋＋端口与PB间的制动电阻是否有问题。
4.如果空开跳开，检查变桨控制柜间电源线是否有问题。
5.如果空开跳开，检查蓄电池是否正常。   "
655,刹车打开位置未到达,系统检测不到刹车打开信号,"1.检查S222.7传感器至PLC模块间线路是否松动。
2.检查S222.7传感器是否正常。
3.检查制动器间隙是否正常。"
656,齿轮箱泵高速断路器,系统检测到Q112.4空开反馈信号丢失,"1.检查Q112.4空开是否跳闸。
2.如果Q112.4空开跳闸，检查空开下端是否存在接地点。
3.检查油泵电机是否损坏、运行时是否有异常噪音。
4.检查Q112.4空开调节值是否正确。
5.如果因箱变高压侧跌落保险问题造成Q112.4空开跳闸，确认调节值无问题后，重新合上即可。"
657,叶轮锁开关未设定在自动模式,系统检测到NCC310柜门自动/手动 钥匙在手动位置,"1.检查NCC310柜门自动/手动 钥匙是否在手动位置，自动运行时需要转到自动位置。
2.检查NCC310柜门自动/手动 钥匙是否工作正常。"
658,刹车阀故障,系统检测到制动泵频繁动作超过15s,"1.检查制动器电池阀Y222.4供电是否正常。
2.检查制动器电池阀Y222.4接线是否松动。
3.检查制动器电池阀Y222.4是否损坏。"
659,400V中断,系统检测到400V电源中断,"1.检查机组400V外接电源是否正常，箱变400V是否跳闸。
2.检查三相400V电源监视继电器是否正常。
3.检查三相400V电源监视继电器至PLC测量模块间线路是否正常。
4.检查三相400V多功能继电器调节值是否正确（bachmann+PM3000W机组）。
5.检查是否与Err142同时报出，若是，按照Err142处理方案处理。"
660,电池接地故障,系统检测到电池状态处于S7-BatStaEar状态（电池电压大于650V超过10s）,"1.检查电池柜及电池电压充电、测量回路是否松动，是否存在接地点。
2.检查电池电压测量测量回路电阻是否正常。（220K±3K/4.7K±0.2K）。
3.检查电池电压测量回路电压/电流变送器是否正常。
4.检查电池柜内电池是否存在鼓包、破损现象。
5.检查电池柜内每组电池电压是否正常。
6.检查电池放电保护继电器（k210.5）是否正常。
7.检查电池放电保护继电器（k210.5）机械锁线圈对地阻值是否正常。"
661,齿轮箱泵低速断路器,系统检测到Q112.2空开反馈信号丢失,"1.检查Q112.2空开是否跳闸。
2.如果Q112.2空开跳闸，检查空开下端是否存在接地点。
3.检查油泵电机是否损坏、运行时是否有异常噪音。
4.检查Q112.2空开调节值是否正确。
5.如果因箱变高压侧跌落保险问题造成Q112.2空开跳闸，确认调节值无问题后，重新合上即可。"
662,叶轮转速差异小,叶轮转速减去发电机转速<-200rpm超过500ms,"1.检查超速继电器调节值是否正确，右边的1000与左边的1000是否调反，正常是右边调成1000。
2.检查叶轮转速是否正常。
3.检查发电机转速是否突变。
4.检查SpeRot1、SpeRot2转速是否都正常。
5.若为阵风引起，可能PLC程序版本较旧，更新PLC程序。"
663,发电机转速差异过小,叶轮转速减去发电机转速>200rpm超过500ms,"1.检查超速继电器设置，正确值为（以77叶轮直径机组turck继电器为例）1000MHz/4/6/90/0.5；                                                                    2.服务模式下，启动变桨观察Pitch及Converter菜单下轮毂、发电机转速值是否平稳。
3.使用Rheintacho rotas超速继电器的机组，如果停机或启机偏航过程中报，检查滑环编码器脉冲信号反馈是否正常，如果信号受干扰，可以更换除O和O/外的其他脉冲信号。"
664,严重超速,转速最大值超过2000rpm,"1.检查turck/Rheintacho rotas超速继电器设置值是否正确。
2.检查滑环编码器固定及反馈线路。
3.检查发电机编码器反馈线路是否有问题。
4.检查发电机编码器外壳对地是否绝缘（正常为绝缘，其信号屏蔽通过外接电缆屏蔽线实现）。
5.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。
6.检查是否为阵风引起，若是，升级PLC程序。
7.检查叶片零位是否校正准确。"
665,轻微超速,转速最大值超过1980rpm,同上
666,齿轮箱高速泵无压力,高速泵启动后，齿轮油压小于0.5bar超过15s ,"1.检查油压传感器及线路是否松动。
2.检查程序中油压传感器选型是否正确。
3.数字量油压传感器检查传感器显示屏是否显示乱码。
4.数字量油压传感器机组，运行油泵看油压传感器是否有油压显示，若无油压则可能油泵工作不正常，需检查泵（滤芯）、电机及油管阀门是否正常。
5.检查油泵电机运行是否正常，是否有异常噪音或声音特别轻，如果声音特别轻，可能花键损坏。
6.检查滤芯是否堵塞，是否有较多的杂物，如有检查齿轮箱是否正常。"
667,电池检测电网掉电,系统检测到电池状态处于S0-BatStaDis（电池未连接）或S1-BatStaGri（电网掉电）状态,"1.检查电池开关是否打开。
2.检查电池电压及400V主电源是否正常。
3.检查变桨通讯是否正常。
4.如果机组在自检情况下报此故障，检查变桨SwiOffTor参数值是否在4000≤SwiOffTor≤4500。"
669,电池测试时电压变化小,电池高低负荷测试时，电压偏差小于5V,"1.检查电池测试电阻100Ω/200W（500W）是否损坏，如损坏更换测试电阻。
2.检查电池柜温度是否正常（在5到40度之间），若异常，检查电池柜加热器及测温PT是否正常。
3.检查电池测试回路线路及器件是否正常。
4.检查电池测试过程各元器件动作是否正常，bachmann PM3000W机组电池测试接触器动作过程如下：快充--K210.5断开瞬间再吸合--K212.2吸合，再断开。
5.检查电池是否损坏，每块电池电压是否正常（6块*12V/块*5组，单块电池电压通常在11.5V～13.5V左右）。
6.ABB机组电池状态显示S3快充时，如果充电接触器不吸合，检查从plc59、60口是否输出24V信号，若不输出，检查24Vdc熔丝F240.5是否烧坏。"
670,发电机信号检测到超速,发电机转速信号大于1970rpm,"1.检查发电机编码器反馈线路是否有问题。
2.检查发电机编码器外壳对地是否绝缘（正常为绝缘，其信号屏蔽通过外接电缆屏蔽线实现）。
3.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。
4.检查是否为阵风引起，若是，升级PLC程序。
5.检查叶片零位是否校正准确。"
671,变频器不同步/风机自动运行时，无法并网；静态测试变频器至S7-Syn时，Gsccur高达100多安。发电机定子侧电压与电网侧电压幅值差别在50V～800多V变化。定子接触器、定子断路器已经吸合，但PLC状态一直为S5加速状态,线路虚接/变频器程序未刷新/发电机故障/机侧变频器损坏/机侧变频器到8A保险线路不通或保险损坏/发电机定、转子相序错误/并网开关的辅助触点损坏；并网开关的辅助触点没有吸合。,"1.检查电机选型、开口电压、励磁电流设置是否正确。
2.示波器，检查同步时定子侧电压波形相位是否稳定，幅值与电网幅值是否相差大于200V，频率是否正常（正常为50Hz±2Hz）。如果相位不对，更换定子相序；如果频率不对，更换转子相序。
3.检查发电机定转子绕组相间、对地阻值是否正常。
4.检查定子接触器-K150.1线圈供电线路接线是否松动。       5.静态测试变频器至S7-Syn时，如果Gsccur高达100多安（正常为30A），且三相不平衡，且更换发电机转子相序后效果一样。则为发电机转子问题。
6.检查NCC300柜内发电机定子侧到8A保险到机侧变频器接线及插头是否松动，位置是否接对。
7.检查定子侧8A保险是否正常。
8.检查发电机编码器及固定是否正常。
9.使用ABB定子断路器做并网开关机组，如果机组输出并网控制信号，检查控制信号到定子断路器的线路、器件及定子断路器本身是否正常（特别是定子断路器辅助触点是否正常）。
10.使用ABB接触器做并网开关机组，检查接触器辅助触点及辅助触点反馈是否有问题。"
674,连续9小时风速为0,风速显示为0m/s达9小时,"1.ABBPLC机组重启从站PLC。
2.检查PLC模块至风速仪间的通讯线路。
3.检查风速仪转换模块。
4.升级PLC程序。
5.检查thies风速仪参数配置。
6.更换风速仪。"
675,风速仪通讯错误,PLC没有收到风速仪信号超过5s,参考Err160、162
676,电池温度PT100传感器,环境温度小于0度时，电池柜温度小于-50度或大于250度,"1.检查电池柜温度传感器线路是否松动。
2.检查电池柜PT100是否损坏。"
677,电池柜温度低,环境温度小于0度时，电池柜温度小于-15度,"1.检查电池柜内加热器功能是否正常（正常为低于15度加热，高于20度停止加热），如加热器损坏，更换加热器。
2.检查电池柜内加热器控制回路是否正常（如K257.7)。
3.检查电池柜温度传感器线路是否松动。
4.检查电池柜PT100是否损坏。
5.按照技改方案，增加电池柜内加热器。"
679,电池在慢充或充电完成状态下电压低,电池状态在S5-refresh或S6-standby状态下，电压低于345V超过10min,"1.检查电池回路线路是否松动。
2.检查电池电压测量回路电阻及线路是否正常。
3.检查电池实际电压是否正常。"
681,功率消耗>30 KW,功率低于-30KW超过1min,"1.检查变频器端子上电网电流测量互感器接线顺序。
2.检查发电机转速ConSpe信号，如信号失真，有短时跳跃，则为发电机编码问题引起。需检查编码器固定、联轴器固定及编码器测量回路是否正常。
3.更换编码器。
4.天元电机使用的小编码器存在问题，建议更换为永济电机使用的莱纳林德编码器。"
685,水泵断路器反馈信号错误,水泵断路器反馈信号丢失,"1.检查水泵断路器是否断开；
2.检查水泵断路器反馈回路是否正常。"
687,变桨刹车230V保险,变桨刹车空开反馈信号丢失,"1.检查变桨电机刹车空开是否跳开，信号反馈是否正常。
2.检查变桨电机制动线路回路，电缆是否固定好，是否甩断接地或短路。
3.检查变桨柜内接触器-K21.3、-K31.3、-K41.3线圈阻值是否正常。"
690,变频器CAN数据复用器不工作,变频器与PLC之间CAN通讯问题,"1.检查变频器与PLC之间CAN通讯是否正常；
2.检查变频子故障，根据子故障进一步处理。"
691,碳刷监测IGenSliBru信号触发,碳刷监控信号触发,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。"
716,自检刹车时发电机转速错误,机组自检刹车关闭时，发电机转速不为零,"1.检查编码器固定是否正常；
2.检查自检时机械刹车是否能够完全制动；
3.检查编码器外接电缆屏蔽线接地电阻是否小于0.3欧（PM1000机组）；
4.检查编码器外壳对地电阻，正常为无穷大；
5.检查编码器至变频器间通讯线及插头是否松动或工作异常；
6.检查变频器测速版是否正常。
7.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。"
717,自检变频器Crowbar错误,机组在S10设置状态下，Crowbar测试反馈错误,"1.检查crowbar到电机侧变频器的通讯光纤是否损坏（如：出现严重压痕等）；
2.检查Crowbar单元线路是否松动；
3.更换Crowbar控制器。"
718,自检:变桨直流母线电压和电池电压的差异,自检时，变桨变频器母线电压与电池电压差值错误,"1.检查变桨子故障；
2.检查主电源断电时，电池电压是否波动很大。"
719,自检:变桨运行到指定位置超时,自检时，在限定的时间内变桨没有到指定位置,"1.检查变桨扭矩是否正常；
2.检查是否有变桨子故障；
3.使用手动变桨操作盒变桨，检查是否正常。"
720,自检:打开安全链时桨叶未收回,自检安全链断开时，桨叶状态不为safety chain stopping或safety chain stopped,"1.检查动作时间是否正常，如果刹车制动时间很慢，检查刹车液压油是否有问题，如是否用错液压油，把齿轮油当液压油使用。
2.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
3.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
4.更换传感器或制动器"
720,自检就报,.6和.7传感器的位置装反；传感器长度与制动器不匹配,"1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
2.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
3.更换传感器或制动器"
721,自检:刹车未闭合,自检安全链断开时，刹车闭合反馈信号错误超过2s,"1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
2.检查刹车传感器反馈信号是否正常；
3.检查刹车动作是否正常；
4.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
5.更换传感器或制动器"
723,自检:风速仪不准确,自检时发电机转速异常,"1.检查发电机编码器固定是否正常；
2.检查风速仪测风是否正常；
3.检查叶轮锁是否被锁上；
4.检查齿轮箱是否正常。"
724,自检:桨叶未依靠电池收回,自检电网掉电10s后，变桨状态不等于HubStaSafCha或HubStaSafOk_或HubStaNo_Bat,"1.检查变桨SwiOffTor参数值是否在4000≤SwiOffTor≤4500。
2.检查蓄电池电量是否正常。"
725,自检:电池未检测到电网掉电,自检电网掉电10s后，电池状态不等于BatStaGri,"1.检查变桨电源控制接触器K210.2控制回路、反馈回路是否正常；
"
726,自检:轴承摩擦过高,自检时，变桨扭矩大于50Nm,"1.检查变桨扭矩是否正常
2.使用手动变桨操作盒变桨，检查是否正常。
3.变桨轴承增加变桨润滑油。"
727,UPS电池完全放电接触器,电池放电保护接触器K210.5错误,"1.检查K210.5控制及反馈信号是否正常；
2.如果PLC不输出控制信号控制K210.5吸合，且检查接触器下端并无接地、短路等问题，断电重新上电后能吸合，但不定时的还跳开，则建议检查电池柜内蓄电池，检查是否有烧焦痕迹或某组电池电压较低。"
728,UPS电池测试接触器,PLC接收到电池测试反馈信号异常超过500ms，输出测试信号时无反馈或未输出测试信号时接收到反馈,"1.检查电池测试接触器K212.2反馈线路是否正常；
2.检查电池测试接触器K212.2控制回路是否正常；
3.检查电池测试接触器K212.2是否正常。"
729,UPS电池400V接触器1,PLC接收到电池充电反馈信号异常超过500ms，电池状态显示快充时，充电接触器1无反馈，或电池未显示快充时，充电接触器1有反馈。,"1.检查电池测试接触器K212.4反馈线路是否正常；
2.检查电池测试接触器K212.4控制回路是否正常；
3.检查电池测试接触器K212.4是否正常；
4.bachmann机组检查DIO280模块85号端口24Vdc电源接线是否正常。"
730,UPS电池400V接触器2,PLC接收到电池充电反馈信号异常超过500ms，电池状态显示快充时，充电接触器2无反馈，或电池未显示快充时，充电接触器2有反馈。,"1.检查电池测试接触器K212.6反馈线路是否正常；
2.检查电池测试接触器K212.6控制回路是否正常；
3.检查电池测试接触器K212.6是否正常；
4.bachmann机组检查DIO280模块85号端口24Vdc电源接线是否正常。"
731,500V直流电源接触器没关闭,变桨电源控制接触器K210.2反馈错误,"1.检查变桨电源控制接触器K210.2控制回路、反馈回路是否正常；
"
732,柜子风扇保险,PLC检测到ICabFanFus反馈信号错误,"1.ABB机组检查F134.2空开反馈信号是否正常；
2.bachmann机组检查F215.1空开反馈信号是否正常。"
733,接口继电器230V电源保险,PLC检测到F134.6空开反馈信号错误,1.检查F134.6空开及反馈信号是否正常。
734,滤波板温度故障,滤波板温度大于100度,"1.检查水循环，包括水阀是否畅通，排气是否彻底，水压是否正常。
2.如果水循环没有问题，检查滤波板中1欧姆电阻排布是否分散。
3.检查PT100测温是否与实际温度一致。
4.更换滤波板。"
735,自动温控加热器保险,PLC检测到F134.6空开反馈信号错误,1.检查F136.6空开及反馈信号是否正常。
737,刹车泵接触器,PLC检测到刹车泵接触器状态错误超过500ms，刹车泵启动信号给出时接触器没有反馈，或刹车泵启动信号未给出时接触器有反馈。,"1.检查刹车泵接触器反馈回路是否有问题。
2.检查刹车泵接触器控制回路是否有问题。
3.检查刹车泵接触器是否正常。"
741,变频器滤波器温度,网侧电抗温度大于155度,"1.检查PT100测温与实际温度是否相符。
2.检查PT100测温回路是否松动。
3.如果温度确实高，检查NCC320柜内风扇及水冷循环是否正常。"
742,齿轮箱风扇接触器,PLC检测到油冷风扇接触器状态错误超过500ms，油冷风扇启动信号给出时接触器没有反馈，或油冷风扇启动信号未给出时接触器有反馈。,"1.检查油冷风扇接触器反馈回路是否有问题。
2.检查油冷风扇接触器控制回路是否有问题。
3.检查油冷风扇接触器是否正常。"
743,水泵接触器跳开,水泵接触器230V供电中断,"1.T134.6 UPS工作不稳定，更换T134.6 UPS
2.中间继电器中作不稳定
3.检查接触器相关控制线路"
743,水泵接触器,PLC检测到水泵接触器状态错误超过500ms，水泵启动信号给出时接触器没有反馈，或水泵启动信号未给出时接触器有反馈。,"1.检查水泵接触器反馈回路是否有问题。
2.检查水泵接触器控制回路是否有问题。
3.检查水泵接触器是否正常。"
746,齿轮箱低速泵接触器,PLC检测到齿轮箱低速泵接触器状态错误超过500ms，低速泵启动信号给出时接触器没有反馈，或启动信号未给出时接触器有反馈。,"1.检查齿轮箱低速泵接触器反馈回路是否有问题。
2.检查齿轮箱低速泵接触器控制回路是否有问题。
3.检查齿轮箱低速泵接触器是否正常。"
747,齿轮箱高速泵接触器,PLC检测到齿轮箱高速泵接触器状态错误超过500ms，高速泵启动信号给出时接触器没有反馈，或启动信号未给出时接触器有反馈。,"1.检查齿轮箱高速泵接触器反馈回路是否有问题。
2.检查齿轮箱高速泵接触器控制回路是否有问题。
3.检查齿轮箱高速泵接触器是否正常。"
748,AC驱动侧加速度传感器,驱动侧振动传感器反馈的加速度交流分量值超限,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。"
749,AC非驱动侧加速度传感器,非驱动侧振动传感器反馈的加速度交流分量值超限,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。"
753,驱动链晃动,系统检测到机组驱动链晃动大,"1.检查发电机转速信号是否波动。
2.检查发电机编码器固定及外接线路是否正常。
3.检查发电机编码器在外接线缆断开时，外壳对地是否绝缘。"
754,塔筒驱动侧移动,PLC检测到驱动端振动传感器位移超过限制值,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。"
755,塔筒非驱动侧移动,PLC检测到非驱动端振动传感器位移超过限制值,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。"
756,齿轮箱压力传感器,齿轮箱压力传感器测得压力≤-1bar,"1.检查压力传感器在程序中选项是否正确。
2.检查压力传感器外接线路是否松动。
3.检查压力传感器电源是否正常。
4.如果为数字量压力传感器，启动油泵时检查传感器显示屏显示与机组控制面板显示是否一致。
5.更换压力传感器。"
757,DC驱动侧加速度传感器,PLC检测到驱动端振动传感器加速度直流分量超过限制值,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。"
758,DC非驱动侧加速度传感器,PLC检测到非驱动端振动传感器加速度直流分量超过限制值,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。"
759,偏航时，1000s内机舱摆动3次,PLC检测到振动传感器信号超过限制值,"1.检查驱动、非驱动侧振动传感器5V电源是否正常。
2.检查驱动、非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动、非驱动侧振动传感器。
6.更新PLC程序。
7.调整偏航大齿圈侧面轴承螺栓力矩"
760,1分钟定子电流值过高,1分钟定子电流值滤波值超过1487A,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。"
761,1分钟总电流值过高,1分钟定子电流值滤波值超过1487A,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。"
763,10分钟电网功率过高,10分钟滤波功率大于1580kw,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。"
764,1分钟电网功率过高,1分钟滤波功率大于1600kw,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。"
765,10秒钟电网功率过高,10秒钟滤波功率大于1680kw,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。"
