id,source,target,type,weight,evidence,properties
"fault_record:4884c4845883->EXPLAINED_BY_MECHANISM->mechanism:sensor-measurement-chain-drift-fault","fault_record:4884c4845883","mechanism:sensor-measurement-chain-drift-fault","EXPLAINED_BY_MECHANISM","5","[""code=137"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_49_137.md:1"",""matched=传感器, 测量, 温度传感器""]","{""evidence"":""code=137""}"
"fault_record:38e0f59078bc->EXPLAINED_BY_MECHANISM->mechanism:sensor-measurement-chain-drift-fault","fault_record:38e0f59078bc","mechanism:sensor-measurement-chain-drift-fault","EXPLAINED_BY_MECHANISM","5","[""code=138"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_49_137.md:2"",""matched=传感器, 测量, 温度传感器""]","{""evidence"":""code=138""}"
"fault_record:0caaf6cc1fd2->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:0caaf6cc1fd2","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=14"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_5_动,否则容易导致高转速下频报故障)。3.检查程序中变桨减速机.md:3"",""matched=24v, 24V, 反馈信号""]","{""evidence"":""code=14""}"
"fault_record:619c4c06297b->EXPLAINED_BY_MECHANISM->mechanism:sensor-measurement-chain-drift-fault","fault_record:619c4c06297b","mechanism:sensor-measurement-chain-drift-fault","EXPLAINED_BY_MECHANISM","5","[""code=151"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_53_151.md:1"",""matched=传感器, 短路, 温度传感器""]","{""evidence"":""code=151""}"
"fault_record:26f6b71c716d->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:26f6b71c716d","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=156"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_54_154.md:3"",""matched=24v, 24V, 反馈信号""]","{""evidence"":""code=156""}"
"fault_record:68044524a799->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:68044524a799","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=157"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_55_157.md:1"",""matched=24v, 24V, 反馈信号""]","{""evidence"":""code=157""}"
"fault_record:91c727736759->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:91c727736759","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=161"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_56_160.md:2"",""matched=24v, 24V, 反馈信号""]","{""evidence"":""code=161""}"
"fault_record:92c8fd2df6f4->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:92c8fd2df6f4","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=162"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_56_160.md:3"",""matched=24v, 24V, 反馈信号""]","{""evidence"":""code=162""}"
"fault_record:ccfa100a8a1c->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:ccfa100a8a1c","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=165"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_57_163.md:3"",""matched=24v, 24V, 反馈信号""]","{""evidence"":""code=165""}"
"fault_record:31725de66817->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:31725de66817","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=200"",""source=SL1500 机组Bachmann PLC高穿程序故障处理手册/SL1500 机组Bachmann PLC高穿程序故障处理手册_69_198.md:3"",""matched=24v, 24V, 反馈信号""]","{""evidence"":""code=200""}"
"fault_record:4d8c4c455341->EXPLAINED_BY_MECHANISM->mechanism:thermal-management-sensor-chain","fault_record:4d8c4c455341","mechanism:thermal-management-sensor-chain","EXPLAINED_BY_MECHANISM","5","[""code=5204"",""source=WD3000风电机组状态代码表(Beckhoff控制器)/WD3000风电机组状态代码表(Beckhoff控制器)_18_5204.md:1"",""matched=温度, 高温, 控制柜, 机舱柜""]","{""evidence"":""code=5204""}"
"fault_record:9f74646cb4d4->EXPLAINED_BY_MECHANISM->mechanism:thermal-management-sensor-chain","fault_record:9f74646cb4d4","mechanism:thermal-management-sensor-chain","EXPLAINED_BY_MECHANISM","5","[""code=5205"",""source=WD3000风电机组状态代码表(Beckhoff控制器)/WD3000风电机组状态代码表(Beckhoff控制器)_18_5204.md:2"",""matched=温度, 高温, 控制柜, 机舱柜""]","{""evidence"":""code=5205""}"
"fault_record:8241eb8032d6->EXPLAINED_BY_MECHANISM->mechanism:yaw-drive-brake-limit","fault_record:8241eb8032d6","mechanism:yaw-drive-brake-limit","EXPLAINED_BY_MECHANISM","5","[""code=5530"",""source=WD3000风电机组状态代码表(Beckhoff控制器)/WD3000风电机组状态代码表(Beckhoff控制器)_66_5522.md:3"",""matched=偏航, 电机, yaw, Yaw""]","{""evidence"":""code=5530""}"
"fault_record:388a965cc882->EXPLAINED_BY_MECHANISM->mechanism:converter-dc-link-grid-disturbance","fault_record:388a965cc882","mechanism:converter-dc-link-grid-disturbance","EXPLAINED_BY_MECHANISM","5","[""code=30311"",""source=xxx华仪故障代码/xxx华仪故障代码_10_28.md:1"",""matched=变流, 变频, 过压, 电网, 网侧""]","{""evidence"":""code=30311""}"
"fault_record:3e7069cec68b->EXPLAINED_BY_MECHANISM->mechanism:converter-dc-link-grid-disturbance","fault_record:3e7069cec68b","mechanism:converter-dc-link-grid-disturbance","EXPLAINED_BY_MECHANISM","5","[""code=30386"",""source=xxx华仪故障代码/xxx华仪故障代码_15_43.md:2"",""matched=变频, igbt, IGBT""]","{""evidence"":""code=30386""}"
"fault_record:0209feadf46c->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:0209feadf46c","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=50003"",""source=xxx华仪故障代码/xxx华仪故障代码_26_76.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=50003""}"
"fault_record:1abd309b7974->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:1abd309b7974","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=50002"",""source=xxx华仪故障代码/xxx华仪故障代码_26_76.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=50002""}"
"fault_record:5bbd2b3c79d5->EXPLAINED_BY_MECHANISM->mechanism:converter-dc-link-grid-disturbance","fault_record:5bbd2b3c79d5","mechanism:converter-dc-link-grid-disturbance","EXPLAINED_BY_MECHANISM","5","[""code=30104"",""source=xxx华仪故障代码/xxx华仪故障代码_3_7.md:1"",""matched=变频, igbt, IGBT""]","{""evidence"":""code=30104""}"
"fault_record:131cdabd4ae7->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:131cdabd4ae7","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=60200"",""source=xxx华仪故障代码/xxx华仪故障代码_31_91.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=60200""}"
"fault_record:c569440a432c->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:c569440a432c","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=70053"",""source=xxx华仪故障代码/xxx华仪故障代码_35_103.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=70053""}"
"fault_record:07756cc6b507->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:07756cc6b507","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=70058"",""source=xxx华仪故障代码/xxx华仪故障代码_35_103.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=70058""}"
"fault_record:5526a864b734->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:5526a864b734","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=80071"",""source=xxx华仪故障代码/xxx华仪故障代码_39_115.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=80071""}"
"fault_record:23bd1fad6659->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:23bd1fad6659","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=80072"",""source=xxx华仪故障代码/xxx华仪故障代码_39_115.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=80072""}"
"fault_record:29c42c3fbd62->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:29c42c3fbd62","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=80075"",""source=xxx华仪故障代码/xxx华仪故障代码_40_118.md:1"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=80075""}"
"fault_record:c46ef97335ec->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:c46ef97335ec","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=80080"",""source=xxx华仪故障代码/xxx华仪故障代码_40_118.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=80080""}"
"fault_record:4b81690a1bfb->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:4b81690a1bfb","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=110110"",""source=xxx华仪故障代码/xxx华仪故障代码_48_142.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=110110""}"
"fault_record:03ceb0bc5f94->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:03ceb0bc5f94","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=110111"",""source=xxx华仪故障代码/xxx华仪故障代码_48_142.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=110111""}"
"fault_record:078c483ce2eb->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:078c483ce2eb","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140101"",""source=xxx华仪故障代码/xxx华仪故障代码_50_148.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140101""}"
"fault_record:7bbe6d4890b9->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:7bbe6d4890b9","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140111"",""source=xxx华仪故障代码/xxx华仪故障代码_50_148.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140111""}"
"fault_record:a35238f0d0ff->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:a35238f0d0ff","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140120"",""source=xxx华仪故障代码/xxx华仪故障代码_51_151.md:1"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140120""}"
"fault_record:57f2997ea155->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:57f2997ea155","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140122"",""source=xxx华仪故障代码/xxx华仪故障代码_51_151.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140122""}"
"fault_record:a22971177b19->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:a22971177b19","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140201"",""source=xxx华仪故障代码/xxx华仪故障代码_51_151.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140201""}"
"fault_record:f5e1c9edbc41->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:f5e1c9edbc41","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140211"",""source=xxx华仪故障代码/xxx华仪故障代码_52_154.md:1"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140211""}"
"fault_record:ca294367aa5c->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:ca294367aa5c","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140220"",""source=xxx华仪故障代码/xxx华仪故障代码_52_154.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140220""}"
"fault_record:a5559cd2ea57->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:a5559cd2ea57","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140222"",""source=xxx华仪故障代码/xxx华仪故障代码_52_154.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140222""}"
"fault_record:e74db252a944->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:e74db252a944","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140311"",""source=xxx华仪故障代码/xxx华仪故障代码_53_157.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140311""}"
"fault_record:842a114b74c0->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:842a114b74c0","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140320"",""source=xxx华仪故障代码/xxx华仪故障代码_54_160.md:1"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140320""}"
"fault_record:6bf8011df30e->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:6bf8011df30e","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140322"",""source=xxx华仪故障代码/xxx华仪故障代码_54_160.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140322""}"
"fault_record:3afed5e30c1a->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:3afed5e30c1a","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140330"",""source=xxx华仪故障代码/xxx华仪故障代码_54_160.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140330""}"
"fault_record:b1309837c2e1->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:b1309837c2e1","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=170041"",""source=xxx华仪故障代码/xxx华仪故障代码_55_163.md:1"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=170041""}"
"fault_record:cd5377d4da35->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:cd5377d4da35","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=170042"",""source=xxx华仪故障代码/xxx华仪故障代码_55_163.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=170042""}"
"fault_record:31874f548fdd->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:31874f548fdd","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=170051"",""source=xxx华仪故障代码/xxx华仪故障代码_55_163.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=170051""}"
"fault_record:cc0e551d4338->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:cc0e551d4338","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=170052"",""source=xxx华仪故障代码/xxx华仪故障代码_56_166.md:1"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=170052""}"
"fault_record:47dc3d1b156f->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:47dc3d1b156f","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=170010"",""source=xxx华仪故障代码/xxx华仪故障代码_56_166.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=170010""}"
"fault_record:2baa63986f28->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:2baa63986f28","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=170020"",""source=xxx华仪故障代码/xxx华仪故障代码_56_166.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=170020""}"
"fault_record:a4f3702070c6->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:a4f3702070c6","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=270005"",""source=xxx华仪故障代码/xxx华仪故障代码_59_175.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=270005""}"
"fault_record:faafca702ba0->EXPLAINED_BY_MECHANISM->mechanism:sensor-measurement-chain-drift-fault","fault_record:faafca702ba0","mechanism:sensor-measurement-chain-drift-fault","EXPLAINED_BY_MECHANISM","5","[""code=300361"",""source=xxx华仪故障代码/xxx华仪故障代码_80_238.md:1"",""matched=传感器, 短路, 温度传感器""]","{""evidence"":""code=300361""}"
"fault_record:493149351514->EXPLAINED_BY_MECHANISM->mechanism:sensor-measurement-chain-drift-fault","fault_record:493149351514","mechanism:sensor-measurement-chain-drift-fault","EXPLAINED_BY_MECHANISM","5","[""code=300362"",""source=xxx华仪故障代码/xxx华仪故障代码_80_238.md:2"",""matched=传感器, 短路, 温度传感器""]","{""evidence"":""code=300362""}"
"fault_record:75e9c54cb087->EXPLAINED_BY_MECHANISM->mechanism:sensor-measurement-chain-drift-fault","fault_record:75e9c54cb087","mechanism:sensor-measurement-chain-drift-fault","EXPLAINED_BY_MECHANISM","5","[""code=300363"",""source=xxx华仪故障代码/xxx华仪故障代码_80_238.md:3"",""matched=传感器, 短路, 温度传感器""]","{""evidence"":""code=300363""}"
"fault_record:30b73eee0d81->EXPLAINED_BY_MECHANISM->mechanism:yaw-drive-brake-limit","fault_record:30b73eee0d81","mechanism:yaw-drive-brake-limit","EXPLAINED_BY_MECHANISM","5","[""code=60003，故障：error_yaw_stop_position_right"",""source=华仪风机故障码/华仪风机故障码_10_60002.md:2"",""matched=偏航, 限位, yaw, Yaw""]","{""evidence"":""code=60003，故障：error_yaw_stop_position_right""}"
"fault_record:0a606face23b->EXPLAINED_BY_MECHANISM->mechanism:yaw-drive-brake-limit","fault_record:0a606face23b","mechanism:yaw-drive-brake-limit","EXPLAINED_BY_MECHANISM","5","[""code=60010，故障：error_yawing_speed"",""source=华仪风机故障码/华仪风机故障码_10_60002.md:3"",""matched=偏航, 电机, yaw, Yaw""]","{""evidence"":""code=60010，故障：error_yawing_speed""}"
"fault_record:f8c5dfb8f765->EXPLAINED_BY_MECHANISM->mechanism:converter-dc-link-grid-disturbance","fault_record:f8c5dfb8f765","mechanism:converter-dc-link-grid-disturbance","EXPLAINED_BY_MECHANISM","5","[""code=30311，故障：error converter fault dc bus overvolt"",""source=华仪风机故障码/华仪风机故障码_102_30311.md:1"",""matched=变流, 变频, 过压, 电网, 网侧""]","{""evidence"":""code=30311，故障：error converter fault dc bus overvolt""}"
"fault_record:4452c64f6562->EXPLAINED_BY_MECHANISM->mechanism:converter-dc-link-grid-disturbance","fault_record:4452c64f6562","mechanism:converter-dc-link-grid-disturbance","EXPLAINED_BY_MECHANISM","5","[""code=30386，故障：error converter fault rotor_gate_driver"",""source=华仪风机故障码/华仪风机故障码_107_30385.md:2"",""matched=变频, igbt, IGBT""]","{""evidence"":""code=30386，故障：error converter fault rotor_gate_driver""}"
"fault_record:7323bee0ae3d->EXPLAINED_BY_MECHANISM->mechanism:yaw-drive-brake-limit","fault_record:7323bee0ae3d","mechanism:yaw-drive-brake-limit","EXPLAINED_BY_MECHANISM","5","[""code=60100，故障：error_yaw_motor_protectedation"",""source=华仪风机故障码/华仪风机故障码_11_60100.md:1"",""matched=偏航, 电机, yaw, Yaw""]","{""evidence"":""code=60100，故障：error_yaw_motor_protectedation""}"
"fault_record:55f443638f83->EXPLAINED_BY_MECHANISM->mechanism:yaw-drive-brake-limit","fault_record:55f443638f83","mechanism:yaw-drive-brake-limit","EXPLAINED_BY_MECHANISM","5","[""code=60101，故障：error_yaw_motor_protectedation1"",""source=华仪风机故障码/华仪风机故障码_11_60100.md:2"",""matched=偏航, 电机, yaw, Yaw""]","{""evidence"":""code=60101，故障：error_yaw_motor_protectedation1""}"
"fault_record:949574ec4ee2->EXPLAINED_BY_MECHANISM->mechanism:yaw-drive-brake-limit","fault_record:949574ec4ee2","mechanism:yaw-drive-brake-limit","EXPLAINED_BY_MECHANISM","5","[""code=60102，故障：error_yaw_motor_protectedation2"",""source=华仪风机故障码/华仪风机故障码_11_60100.md:3"",""matched=偏航, 电机, yaw, Yaw""]","{""evidence"":""code=60102，故障：error_yaw_motor_protectedation2""}"
"fault_record:54622f3462c6->EXPLAINED_BY_MECHANISM->mechanism:converter-control-communication-loss","fault_record:54622f3462c6","mechanism:converter-control-communication-loss","EXPLAINED_BY_MECHANISM","5","[""code=30425，故障：errorverter_isu_rdyref"",""source=华仪风机故障码/华仪风机故障码_111_30425.md:1"",""matched=通讯, 光纤, 变频器, 变流器""]","{""evidence"":""code=30425，故障：errorverter_isu_rdyref""}"
"fault_record:81221e85705d->EXPLAINED_BY_MECHANISM->mechanism:yaw-drive-brake-limit","fault_record:81221e85705d","mechanism:yaw-drive-brake-limit","EXPLAINED_BY_MECHANISM","5","[""code=60103，故障：error_yaw MOTOR_protectedation3"",""source=华仪风机故障码/华仪风机故障码_12_60103.md:1"",""matched=偏航, 电机, yaw, Yaw""]","{""evidence"":""code=60103，故障：error_yaw MOTOR_protectedation3""}"
"fault_record:308870bc9c9c->EXPLAINED_BY_MECHANISM->mechanism:communication-network-loss","fault_record:308870bc9c9c","mechanism:communication-network-loss","EXPLAINED_BY_MECHANISM","5","[""code=140000"",""source=华仪风机故障码/华仪风机故障码_33_130201.md:3"",""matched=通讯, Profibus""]","{""evidence"":""code=140000""}"
"fault_record:077277070cdb->EXPLAINED_BY_MECHANISM->mechanism:communication-network-loss","fault_record:077277070cdb","mechanism:communication-network-loss","EXPLAINED_BY_MECHANISM","5","[""code=140100"",""source=华仪风机故障码/华仪风机故障码_34_140100.md:1"",""matched=通讯, Profibus""]","{""evidence"":""code=140100""}"
"fault_record:017866169d84->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:017866169d84","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140101，故障：error PROFIBUS_tower_base_nodeSupply1_OK"",""source=华仪风机故障码/华仪风机故障码_34_140100.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140101，故障：error PROFIBUS_tower_base_nodeSupply1_OK""}"
"fault_record:017866169d84->EXPLAINED_BY_MECHANISM->mechanism:communication-network-loss","fault_record:017866169d84","mechanism:communication-network-loss","EXPLAINED_BY_MECHANISM","5","[""code=140101，故障：error PROFIBUS_tower_base_nodeSupply1_OK"",""source=华仪风机故障码/华仪风机故障码_34_140100.md:2"",""matched=Profibus, 丢失""]","{""evidence"":""code=140101，故障：error PROFIBUS_tower_base_nodeSupply1_OK""}"
"fault_record:eb055e513ff8->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:eb055e513ff8","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140111，故障：error PROFIBUS_tower_base_nodeSupply11_OK"",""source=华仪风机故障码/华仪风机故障码_34_140100.md:3"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140111，故障：error PROFIBUS_tower_base_nodeSupply11_OK""}"
"fault_record:eb055e513ff8->EXPLAINED_BY_MECHANISM->mechanism:communication-network-loss","fault_record:eb055e513ff8","mechanism:communication-network-loss","EXPLAINED_BY_MECHANISM","5","[""code=140111，故障：error PROFIBUS_tower_base_nodeSupply11_OK"",""source=华仪风机故障码/华仪风机故障码_34_140100.md:3"",""matched=Profibus, 丢失""]","{""evidence"":""code=140111，故障：error PROFIBUS_tower_base_nodeSupply11_OK""}"
"fault_record:814980f6045f->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:814980f6045f","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140120，故障：error PROFIBUS_nacelle_nodeSupply20_OK"",""source=华仪风机故障码/华仪风机故障码_35_140120.md:1"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140120，故障：error PROFIBUS_nacelle_nodeSupply20_OK""}"
"fault_record:814980f6045f->EXPLAINED_BY_MECHANISM->mechanism:communication-network-loss","fault_record:814980f6045f","mechanism:communication-network-loss","EXPLAINED_BY_MECHANISM","5","[""code=140120，故障：error PROFIBUS_nacelle_nodeSupply20_OK"",""source=华仪风机故障码/华仪风机故障码_35_140120.md:1"",""matched=Profibus, 丢失""]","{""evidence"":""code=140120，故障：error PROFIBUS_nacelle_nodeSupply20_OK""}"
"fault_record:8206669182e5->EXPLAINED_BY_MECHANISM->mechanism:pitch-24v-feedback-loss","fault_record:8206669182e5","mechanism:pitch-24v-feedback-loss","EXPLAINED_BY_MECHANISM","5","[""code=140122，故障：error PROFIBUS_nacelle_nodeSupply22_OK"",""source=华仪风机故障码/华仪风机故障码_35_140120.md:2"",""matched=反馈信号丢失, 反馈信号""]","{""evidence"":""code=140122，故障：error PROFIBUS_nacelle_nodeSupply22_OK""}"
"fault_record:8206669182e5->EXPLAINED_BY_MECHANISM->mechanism:communication-network-loss","fault_record:8206669182e5","mechanism:communication-network-loss","EXPLAINED_BY_MECHANISM","5","[""code=140122，故障：error PROFIBUS_nacelle_nodeSupply22_OK"",""source=华仪风机故障码/华仪风机故障码_35_140120.md:2"",""matched=Profibus, 丢失""]","{""evidence"":""code=140122，故障：error PROFIBUS_nacelle_nodeSupply22_OK""}"
"fault_record:d57803f3964e->EXPLAINED_BY_MECHANISM->mechanism:communication-network-loss","fault_record:d57803f3964e","mechanism:communication-network-loss","EXPLAINED_BY_MECHANISM","5","[""code=140200，故障：error PROFIBUS_nodeSuppl_fuse_defect"",""source=华仪风机故障码/华仪风机故障码_36_140200.md:1"",""matched=通讯, Profibus""]","{""evidence"":""code=140200，故障：error PROFIBUS_nodeSuppl_fuse_defect""}"
